GEN.1.1	In the beginning of God's preparing the heavens and the earth —
MAT.26.39	And having gone forward a little, he fell on his face, praying, and saying, ‘My Father, if it be possible, let this cup pass from me; nevertheless, not as I will, but as Thou.’
MAT.26.40	And he cometh unto the disciples, and findeth them sleeping, and he saith to Peter, ‘So! ye were not able one hour to watch with me!
MAT.26.41	watch, and pray, that ye may not enter into temptation: the spirit indeed is forward, but the flesh weak.’
MAT.26.42	Again, a second time, having gone away, he prayed, saying, ‘My Father, if this cup cannot pass away from me except I drink it, Thy will be done;’
MAT.26.43	and having come, he findeth them again sleeping, for their eyes were heavy.
MAT.26.44	And having left them, having gone away again, he prayed a third time, saying the same word;
MAT.26.45	then cometh he unto his disciples, and saith to them, ‘Sleep on henceforth, and rest! lo, the hour hath come nigh, and the Son of Man is delivered up to the hands of sinners.
MAT.26.46	Rise, let us go; lo, he hath come nigh who is delivering me up.’
MAT.26.47	And while he is yet speaking, lo, Judas, one of the twelve did come, and with him a great multitude, with swords and sticks, from the chief priests and elders of the people.
MAT.26.48	And he who did deliver him up did give them a sign, saying, ‘Whomsoever I will kiss, it is he: lay hold on him;’
MAT.26.49	and immediately, having come to Jesus, he said, ‘Hail, Rabbi,’ and kissed him;
MAT.26.50	and Jesus said to him, ‘Comrade, for what art thou present?’ Then having come near, they laid hands on Jesus, and took hold on him.
MAT.26.51	And lo, one of those with Jesus, having stretched forth the hand, drew his sword, and having struck the servant of the chief priest, he took off his ear.
MAT.26.52	Then saith Jesus to him, ‘Turn back thy sword to its place; for all who did take the sword, by the sword shall perish;
MAT.26.53	dost thou think that I am not able now to call upon my Father, and He will place beside me more than twelve legions of messengers?
MAT.26.54	how then may the Writings be fulfilled, that thus it behoveth to happen?’
MAT.26.55	In that hour said Jesus to the multitudes, ‘As against a robber ye did come forth, with swords and sticks, to take me! daily with you I was sitting teaching in the temple, and ye did not lay hold on me;
MAT.26.56	but all this hath come to pass, that the Writings of the prophets may be fulfilled;’ then all the disciples, having left him, fled.
MAT.26.57	And those laying hold on Jesus led [him] away unto Caiaphas the chief priest, where the scribes and the elders were gathered together,
MAT.26.58	and Peter was following him afar off, unto the court of the chief priest, and having gone in within, he was sitting with the officers, to see the end.
MAT.26.59	And the chief priests, and the elders, and all the council, were seeking false witness against Jesus, that they might put him to death,
MAT.26.60	and they did not find; and many false witnesses having come near, they did not find; and at last two false witnesses having come near,
MAT.26.61	said, ‘This one said, I am able to throw down the sanctuary of God, and after three days to build it.’
MAT.26.62	And the chief priest having stood up, said to him, ‘Nothing thou dost answer! what do these witness against thee?
MAT.26.63	and Jesus was silent. And the chief priest answering said to him, ‘I adjure thee, by the living God, that thou mayest say to us, if thou art the Christ — the Son of God.’
MAT.26.64	Jesus saith to him, ‘Thou hast said; nevertheless I say to you, hereafter ye shall see the Son of Man sitting on the right hand of the power, and coming upon the clouds, of the heaven.’
MAT.26.65	Then the chief priest rent his garments, saying, — ‘He hath spoken evil; what need have we yet of witnesses? lo, now ye heard his evil speaking;
MAT.26.66	what think ye?’ and they answering said, ‘He is worthy of death.’
MAT.26.67	Then did they spit in his face and buffet him, and others did slap,
MAT.26.68	saying, ‘Declare to us, O Christ, who he is that struck thee?’
MAT.26.69	And Peter without was sitting in the court, and there came near to him a certain maid, saying, ‘And thou wast with Jesus of Galilee!’
MAT.26.70	And he denied before all, saying, ‘I have not known what thou sayest.’
MAT.26.71	And he having gone forth to the porch, another female saw him, and saith to those there, ‘And this one was with Jesus of Nazareth;’
MAT.26.72	and again did he deny with an oath — ‘I have not known the man.’
MAT.26.73	And after a little those standing near having come, said to Peter, ‘Truly thou also art of them, for even thy speech doth make thee manifest.’
MAT.26.74	Then began he to anathematise, and to swear — ‘I have not known the man;’ and immediately did a cock crow,
MAT.26.75	and Peter remembered the saying of Jesus, he having said to him — ‘Before cockcrowing, thrice thou wilt deny me;’ and having gone without, he did weep bitterly.
MAT.27.1	And morning having come, all the chief priests and the elders of the people took counsel against Jesus, so as to put him to death;
MAT.27.2	and having bound him, they did lead away, and delivered him up to Pontius Pilate, the governor.
MAT.27.3	Then Judas — he who delivered him up — having seen that he was condemned, having repented, brought back the thirty silverlings to the chief priests, and to the elders, saying,
MAT.27.4	‘I did sin, having delivered up innocent blood;’ and they said, ‘What — to us? thou shalt see!’
MAT.27.5	and having cast down the silverlings in the sanctuary, he departed, and having gone away, he did strangle himself.
MAT.27.6	And the chief priests having taken the silverlings, said, ‘It is not lawful to put them to the treasury, seeing it is the price of blood;’
MAT.27.7	and having taken counsel, they bought with them the field of the potter, for the burial of strangers;
MAT.27.8	therefore was that field called, ‘Field of blood,’ unto this day.
MAT.27.9	Then was fulfilled that spoken through Jeremiah the prophet, saying, ‘And I took the thirty silverlings, the price of him who hath been priced, whom they of the sons of Israel did price,
MAT.27.10	and gave them for the field of the potter, as the Lord did appoint to me.’
MAT.27.11	And Jesus stood before the governor, and the governor did question him, saying, ‘Art thou the king of the Jews!’ And Jesus said to him, ‘Thou sayest.’
MAT.27.12	And in his being accused by the chief priests and the elders, he did not answer any thing,
MAT.27.13	then saith Pilate to him, ‘Dost thou not hear how many things they witness against thee?’
MAT.27.14	And he did not answer him, not even to one word, so that the governor did wonder greatly.
MAT.27.15	And at the feast the governor had been accustomed to release one to the multitude, a prisoner, whom they willed,
MAT.27.16	and they had then a noted prisoner, called Barabbas,
MAT.27.17	they therefore having been gathered together, Pilate said to them, ‘Whom will ye I shall release to you? Barabbas or Jesus who is called Christ?’
MAT.27.18	for he had known that because of envy they had delivered him up.
MAT.27.19	And as he is sitting on the tribunal, his wife sent unto him, saying, ‘Nothing — to thee and to that righteous one, for many things did I suffer to-day in a dream because of him.’
MAT.27.20	And the chief priests and the elders did persuade the multitudes that they might ask for themselves Barabbas, and might destroy Jesus;
MAT.27.21	and the governor answering said to them, ‘Which of the two will ye [that] I shall release to you?’ And they said, ‘Barabbas.’
MAT.27.22	Pilate saith to them, ‘What then shall I do with Jesus who is called Christ?’ They all say to him, ‘Let be crucified!’
MAT.27.23	And the governor said, ‘Why, what evil did he?’ and they were crying out the more, saying, ‘Let be crucified.’
MAT.27.24	And Pilate having seen that it profiteth nothing, but rather a tumult is made, having taken water, he did wash the hands before the multitude, saying, ‘I am innocent from the blood of this righteous one; ye — ye shall see;’
