GEN.1.1	In the beginning God created the sky and the earth. 
LUK.2.42	When he was twelve years old, they went to the feast as they always did. 
LUK.2.43	After the feast days were over, they started home. The boy Jesus stayed behind in Jerusalem, but his parents did not know it. 
LUK.2.44	Thinking that Jesus was with them in the group, they traveled for a whole day. Then they began to look for him among their family and friends. 
LUK.2.45	When they did not find him, they went back to Jerusalem to look for him there. 
LUK.2.46	After three days they found Jesus sitting in the Temple with the teachers, listening to them and asking them questions. 
LUK.2.47	All who heard him were amazed at his understanding and answers. 
LUK.2.48	When Jesus’ parents saw him, they were astonished. His mother said to him, “Son, why did you do this to us? Your father and I were very worried about you and have been looking for you.”
LUK.2.49	Jesus said to them, 
LUK.2.50	But they did not understand the meaning of what he said.
LUK.2.51	Jesus went with them to Nazareth and was obedient to them. But his mother kept in her mind all that had happened. 
LUK.2.52	Jesus became wiser and grew physically. People liked him, and he pleased God.
LUK.3.1	It was the fifteenth year of the rule of Tiberius Caesar. These men were under Caesar: Pontius Pilate, the ruler of Judea; Herod, the ruler of Galilee; Philip, Herod’s brother, the ruler of Iturea and Traconitis; and Lysanias, the ruler of Abilene. 
LUK.3.2	Annas and Caiaphas were the high priests. At this time, the word of God came to John son of Zechariah in the desert. 
LUK.3.3	He went all over the area around the Jordan River preaching a baptism of changed hearts and lives for the forgiveness of sins. 
LUK.3.4	As it is written in the book of Isaiah the prophet:
LUK.3.4	“This is a voice of one
LUK.3.4	who calls out in the desert:
LUK.3.4	‘Prepare the way for the Lord.
LUK.3.4	Make the road straight for him.
LUK.3.5	Every valley should be filled in,
LUK.3.5	and every mountain and hill should be made flat.
LUK.3.5	Roads with turns should be made straight,
LUK.3.5	and rough roads should be made smooth.
LUK.3.6	And all people will know about the salvation of God!’ ” 
LUK.3.7	To the crowds of people who came to be baptized by John, he said, “You are all snakes! Who warned you to run away from God’s coming punishment? 
LUK.3.8	Do the things that show you really have changed your hearts and lives. Don’t begin to say to yourselves, ‘Abraham is our father.’ I tell you that God could make children for Abraham from these rocks. 
LUK.3.9	The ax is now ready to cut down the trees, and every tree that does not produce good fruit will be cut down and thrown into the fire.”
LUK.3.10	The people asked John, “Then what should we do?”
LUK.3.11	John answered, “If you have two shirts, share with the person who does not have one. If you have food, share that also.”
LUK.3.12	Even tax collectors came to John to be baptized. They said to him, “Teacher, what should we do?”
LUK.3.13	John said to them, “Don’t take more taxes from people than you have been ordered to take.”
LUK.3.14	The soldiers asked John, “What about us? What should we do?”
LUK.3.14	John said to them, “Don’t force people to give you money, and don’t lie about them. Be satisfied with the pay you get.”
LUK.3.15	Since the people were hoping for the Christ to come, they wondered if John might be the one.
LUK.3.16	John answered everyone, “I baptize you with water, but there is one coming who is greater than I am. I am not good enough to untie his sandals. He will baptize you with the Holy Spirit and fire. 
LUK.3.17	He will come ready to clean the grain, separating the good grain from the chaff. He will put the good part of the grain into his barn, but he will burn the chaff with a fire that cannot be put out.” 
LUK.3.18	And John continued to preach the Good News, saying many other things to encourage the people.
LUK.3.19	But John spoke against Herod, the governor, because of his sin with Herodias, the wife of Herod’s brother, and because of the many other evil things Herod did. 
LUK.3.20	So Herod did something even worse: He put John in prison.
LUK.3.21	When all the people were being baptized by John, Jesus also was baptized. While Jesus was praying, heaven opened 
LUK.3.22	and the Holy Spirit came down on him in the form of a dove. Then a voice came from heaven, saying, “You are my Son, whom I love, and I am very pleased with you.”
LUK.3.23	When Jesus began his ministry, he was about thirty years old. People thought that Jesus was Joseph’s son.
LUK.3.23	Joseph was the son of Heli.
LUK.3.24	Heli was the son of Matthat.
LUK.3.24	Matthat was the son of Levi.
LUK.3.24	Levi was the son of Melki.
LUK.3.24	Melki was the son of Jannai.
LUK.3.24	Jannai was the son of Joseph.
LUK.3.25	Joseph was the son of Mattathias.
LUK.3.25	Mattathias was the son of Amos.
LUK.3.25	Amos was the son of Nahum.
LUK.3.25	Nahum was the son of Esli.
LUK.3.25	Esli was the son of Naggai.
LUK.3.26	Naggai was the son of Maath.
LUK.3.26	Maath was the son of Mattathias.
LUK.3.26	Mattathias was the son of Semein.
LUK.3.26	Semein was the son of Josech.
LUK.3.26	Josech was the son of Joda.
LUK.3.27	Joda was the son of Joanan.
LUK.3.27	Joanan was the son of Rhesa.
LUK.3.27	Rhesa was the son of Zerubbabel.
LUK.3.27	Zerubbabel was the grandson of Shealtiel.
LUK.3.27	Shealtiel was the son of Neri.
LUK.3.28	Neri was the son of Melki.
LUK.3.28	Melki was the son of Addi.
LUK.3.28	Addi was the son of Cosam.
LUK.3.28	Cosam was the son of Elmadam.
LUK.3.28	Elmadam was the son of Er.
LUK.3.29	Er was the son of Joshua.
LUK.3.29	Joshua was the son of Eliezer.
LUK.3.29	Eliezer was the son of Jorim.
LUK.3.29	Jorim was the son of Matthat.
LUK.3.29	Matthat was the son of Levi.
LUK.3.30	Levi was the son of Simeon.
LUK.3.30	Simeon was the son of Judah.
LUK.3.30	Judah was the son of Joseph.
LUK.3.30	Joseph was the son of Jonam.
LUK.3.30	Jonam was the son of Eliakim.
LUK.3.31	Eliakim was the son of Melea.
LUK.3.31	Melea was the son of Menna.
LUK.3.31	Menna was the son of Mattatha.
LUK.3.31	Mattatha was the son of Nathan.
LUK.3.31	Nathan was the son of David.
LUK.3.32	David was the son of Jesse.
LUK.3.32	Jesse was the son of Obed.
LUK.3.32	Obed was the son of Boaz.
LUK.3.32	Boaz was the son of Salmon.
LUK.3.32	Salmon was the son of Nahshon.
LUK.3.33	Nahshon was the son of Amminadab.
LUK.3.33	Amminadab was the son of Admin.
LUK.3.33	Admin was the son of Arni.
LUK.3.33	Arni was the son of Hezron.
LUK.3.33	Hezron was the son of Perez.
LUK.3.33	Perez was the son of Judah.
LUK.3.34	Judah was the son of Jacob.
LUK.3.34	Jacob was the son of Isaac.
LUK.3.34	Isaac was the son of Abraham.
LUK.3.34	Abraham was the son of Terah.
LUK.3.34	Terah was the son of Nahor.
LUK.3.35	Nahor was the son of Serug.
LUK.3.35	Serug was the son of Reu.
LUK.3.35	Reu was the son of Peleg.
LUK.3.35	Peleg was the son of Eber.
LUK.3.35	Eber was the son of Shelah.
LUK.3.36	Shelah was the son of Cainan.
LUK.3.36	Cainan was the son of Arphaxad.
LUK.3.36	Arphaxad was the son of Shem.
LUK.3.36	Shem was the son of Noah.
LUK.3.36	Noah was the son of Lamech.
LUK.3.37	Lamech was the son of Methuselah.
LUK.3.37	Methuselah was the son of Enoch.
LUK.3.37	Enoch was the son of Jared.
LUK.3.37	Jared was the son of Mahalalel.
LUK.3.37	Mahalalel was the son of Kenan.
LUK.3.38	Kenan was the son of Enosh.
LUK.3.38	Enosh was the son of Seth.
LUK.3.38	Seth was the son of Adam.
LUK.3.38	Adam was the son of God.
LUK.4.1	Jesus, filled with the Holy Spirit, returned from the Jordan River. The Spirit led Jesus into the desert 
LUK.4.2	where the devil tempted Jesus for forty days. Jesus ate nothing during that time, and when those days were ended, he was very hungry.
LUK.4.3	The devil said to Jesus, “If you are the Son of God, tell this rock to become bread.”
LUK.4.4	Jesus answered, 
LUK.4.5	Then the devil took Jesus and showed him all the kingdoms of the world in an instant. 
LUK.4.6	The devil said to Jesus, “I will give you all these kingdoms and all their power and glory. It has all been given to me, and I can give it to anyone I wish. 
LUK.4.7	If you worship me, then it will all be yours.”
LUK.4.8	Jesus answered, 
LUK.4.9	Then the devil led Jesus to Jerusalem and put him on a high place of the Temple. He said to Jesus, “If you are the Son of God, jump down. 
LUK.4.10	It is written in the Scriptures:
LUK.4.10	‘He has put his angels in charge of you
