GEN.1.1	In the beginning, God
HOS.6.3	Let’s acknowledge the 
HOS.6.3	Let’s press on to know the 
HOS.6.3	As surely as the sun rises,
HOS.6.3	The 
HOS.6.3	He will come to us like the rain,
HOS.6.3	like the spring rain that waters the earth.”
HOS.6.4	“Ephraim, what shall I do to you?
HOS.6.4	Judah, what shall I do to you?
HOS.6.4	For your love is like a morning cloud,
HOS.6.4	and like the dew that disappears early.
HOS.6.5	Therefore I have cut them to pieces with the prophets;
HOS.6.5	I killed them with the words of my mouth.
HOS.6.5	Your judgements are like a flash of lightning.
HOS.6.6	For I desire mercy, and not sacrifice;
HOS.6.6	and the knowledge of God more than burnt offerings.
HOS.6.7	But they, like Adam, have broken the covenant.
HOS.6.7	They were unfaithful to me, there.
HOS.6.8	Gilead is a city of those who work iniquity;
HOS.6.8	it is stained with blood.
HOS.6.9	As gangs of robbers wait to ambush a man,
HOS.6.9	so the company of priests murder on the path towards Shechem,
HOS.6.9	committing shameful crimes.
HOS.6.10	In the house of Israel I have seen a horrible thing.
HOS.6.10	There is prostitution in Ephraim.
HOS.6.10	Israel is defiled.
HOS.6.11	“Also, Judah, there is a harvest appointed for you,
HOS.6.11	when I restore the fortunes of my people.
HOS.7.1	When I would heal Israel,
HOS.7.1	then the iniquity of Ephraim is uncovered,
HOS.7.1	also the wickedness of Samaria;
HOS.7.1	for they commit falsehood,
HOS.7.1	and the thief enters in,
HOS.7.1	and the gang of robbers ravages outside.
HOS.7.2	They don’t consider in their hearts that I remember all their wickedness.
HOS.7.2	Now their own deeds have engulfed them.
HOS.7.2	They are before my face.
HOS.7.3	They make the king glad with their wickedness,
HOS.7.3	and the princes with their lies.
HOS.7.4	They are all adulterers.
HOS.7.4	They are burning like an oven that the baker stops stirring,
HOS.7.4	from the kneading of the dough, until it is leavened.
HOS.7.5	On the day of our king, the princes made themselves sick with the heat of wine.
HOS.7.5	He joined his hand with mockers.
HOS.7.6	For they have prepared their heart like an oven,
HOS.7.6	while they lie in wait.
HOS.7.6	Their baker sleeps all the night.
HOS.7.6	In the morning it burns as a flaming fire.
HOS.7.7	They are all hot as an oven,
HOS.7.7	and devour their judges.
HOS.7.7	All their kings have fallen.
HOS.7.7	There is no one amongst them who calls to me.
HOS.7.8	Ephraim, he mixes himself amongst the nations.
HOS.7.8	Ephraim is a pancake not turned over.
HOS.7.9	Strangers have devoured his strength,
HOS.7.9	and he doesn’t realise it.
HOS.7.9	Indeed, grey hairs are here and there on him,
HOS.7.9	and he doesn’t realise it.
HOS.7.10	The pride of Israel testifies to his face;
HOS.7.10	yet they haven’t returned to the 
HOS.7.10	nor sought him, for all this.
HOS.7.11	“Ephraim is like an easily deceived dove, without understanding.
HOS.7.11	They call to Egypt.
HOS.7.11	They go to Assyria.
HOS.7.12	When they go, I will spread my net on them.
HOS.7.12	I will bring them down like the birds of the sky.
HOS.7.12	I will chastise them, as their congregation has heard.
HOS.7.13	Woe to them!
HOS.7.13	For they have wandered from me.
HOS.7.13	Destruction to them!
HOS.7.13	For they have trespassed against me.
HOS.7.13	Though I would redeem them,
HOS.7.13	yet they have spoken lies against me.
HOS.7.14	They haven’t cried to me with their heart,
HOS.7.14	but they howl on their beds.
HOS.7.14	They assemble themselves for grain and new wine.
HOS.7.14	They turn away from me.
HOS.7.15	Though I have taught and strengthened their arms,
HOS.7.15	yet they plot evil against me.
HOS.7.16	They return, but not to the Most High.
HOS.7.16	They are like a faulty bow.
HOS.7.16	Their princes will fall by the sword for the rage of their tongue.
HOS.7.16	This will be their derision in the land of Egypt.
HOS.8.1	“Put the trumpet to your lips!
HOS.8.1	Something like an eagle is over the 
HOS.8.1	because they have broken my covenant,
HOS.8.1	and rebelled against my law.
HOS.8.2	They cry to me, ‘My God, we Israel acknowledge you!’
HOS.8.3	Israel has cast off that which is good.
HOS.8.3	The enemy will pursue him.
HOS.8.4	They have set up kings, but not by me.
HOS.8.4	They have made princes, and I didn’t approve.
HOS.8.4	Of their silver and their gold they have made themselves idols,
HOS.8.4	that they may be cut off.
HOS.8.5	Let Samaria throw out his calf idol!
HOS.8.5	My anger burns against them!
HOS.8.5	How long will it be until they are capable of purity?
HOS.8.6	For this is even from Israel!
HOS.8.6	The workman made it, and it is no God;
HOS.8.6	indeed, the calf of Samaria shall be broken in pieces.
HOS.8.7	For they sow the wind,
HOS.8.7	and they will reap the whirlwind.
HOS.8.7	He has no standing grain.
HOS.8.7	The stalk will yield no head.
HOS.8.7	If it does yield, strangers will swallow it up.
HOS.8.8	Israel is swallowed up.
HOS.8.8	Now they are amongst the nations like a worthless thing.
HOS.8.9	For they have gone up to Assyria,
HOS.8.9	like a wild donkey wandering alone.
HOS.8.9	Ephraim has hired lovers for himself.
HOS.8.10	But although they sold themselves amongst the nations,
HOS.8.10	I will now gather them;
HOS.8.10	and they begin to waste away because of the oppression of the king of mighty ones.
HOS.8.11	Because Ephraim has multiplied altars for sinning,
HOS.8.11	they became for him altars for sinning.
HOS.8.12	I wrote for him the many things of my law;
HOS.8.12	but they were regarded as a strange thing.
HOS.8.13	As for the sacrifices of my offerings,
HOS.8.13	they sacrifice meat and eat it;
HOS.8.13	But the 
HOS.8.13	Now he will remember their iniquity,
HOS.8.13	and punish their sins.
HOS.8.13	They will return to Egypt.
HOS.8.14	For Israel has forgotten his Maker and built palaces;
HOS.8.14	and Judah has multiplied fortified cities;
HOS.8.14	but I will send a fire on his cities,
HOS.8.14	and it will devour its fortresses.”
HOS.9.1	Don’t rejoice, Israel, to jubilation like the nations;
HOS.9.1	for you were unfaithful to your God.
HOS.9.1	You love the wages of a prostitute at every grain threshing floor.
HOS.9.2	The threshing floor and the wine press won’t feed them,
HOS.9.2	and the new wine will fail her.
HOS.9.3	They won’t dwell in the 
HOS.9.3	but Ephraim will return to Egypt,
HOS.9.3	and they will eat unclean food in Assyria.
HOS.9.4	They won’t pour out wine offerings to the 
HOS.9.4	neither will they be pleasing to him.
HOS.9.4	Their sacrifices will be to them like the bread of mourners;
HOS.9.4	all who eat of it will be polluted;
HOS.9.4	for their bread will be for their appetite.
HOS.9.4	It will not come into the 
HOS.9.5	What will you do in the day of solemn assembly,
HOS.9.5	and in the day of the feast of the 
HOS.9.6	For, behold, when they flee destruction,
HOS.9.6	Egypt will gather them up.
HOS.9.6	Memphis will bury them.
HOS.9.6	Nettles will possess their pleasant things of silver.
HOS.9.6	Thorns will be in their tents.
HOS.9.7	The days of visitation have come.
HOS.9.7	The days of reckoning have come.
HOS.9.7	Israel will consider the prophet to be a fool,
HOS.9.7	and the man who is inspired to be insane,
HOS.9.7	because of the abundance of your sins,
HOS.9.7	and because your hostility is great.
HOS.9.8	A prophet watches over Ephraim with my God.
HOS.9.8	A fowler’s snare is on all of his paths,
HOS.9.8	and hostility in the house of his God.
HOS.9.9	They have deeply corrupted themselves,
HOS.9.9	as in the days of Gibeah.
HOS.9.9	He will remember their iniquity.
HOS.9.9	He will punish them for their sins.
HOS.9.10	I found Israel like grapes in the wilderness.
HOS.9.10	I saw your fathers as the first ripe in the fig tree at its first season;
HOS.9.10	but they came to Baal Peor, and consecrated themselves to the shameful thing,
