LKA.1.1	Many have undertaken to draw up an account of the things that have been fulfilled
JHN.21.7	Then the disciple whom Jesus loved said to Peter, “It is the Lord!” As soon as Simon Peter heard him say, “It is the Lord,” he wrapped his outer garment around him (for he had taken it off) and jumped into the water. 
JHN.21.8	The other disciples followed in the boat, towing the net full of fish, for they were not far from shore, about a hundred yards.
JHN.21.9	When they landed, they saw a fire of burning coals there with fish on it, and some bread.
JHN.21.10	Jesus said to them, 
JHN.21.11	So Simon Peter climbed back into the boat and dragged the net ashore. It was full of large fish, 153, but even with so many the net was not torn. 
JHN.21.12	Jesus said to them, 
JHN.21.13	Jesus came, took the bread and gave it to them, and did the same with the fish. 
JHN.21.14	This was now the third time Jesus appeared to his disciples after he was raised from the dead.
JHN.21.15	When they had finished eating, Jesus said to Simon Peter, 
JHN.21.15	“Yes, Lord,” he said, “you know that I love you.”
JHN.21.15	Jesus said, 
JHN.21.16	Again Jesus said, 
JHN.21.16	He answered, “Yes, Lord, you know that I love you.”
JHN.21.16	Jesus said, 
JHN.21.17	The third time he said to him, 
JHN.21.17	Peter was hurt because Jesus asked him the third time, 
JHN.21.17	Jesus said, 
JHN.21.19	Jesus said this to indicate the kind of death by which Peter would glorify God. Then he said to him, 
JHN.21.20	Peter turned and saw that the disciple whom Jesus loved was following them. (This was the one who had leaned back against Jesus at the supper and had said, “Lord, who is going to betray you?”) 
JHN.21.21	When Peter saw him, he asked, “Lord, what about him?”
JHN.21.22	Jesus answered, 
JHN.21.23	Because of this, the rumor spread among the believers that this disciple would not die. But Jesus did not say that he would not die; he only said, 
JHN.21.24	This is the disciple who testifies to these things and who wrote them down. We know that his testimony is true.
JHN.21.25	Jesus did many other things as well. If every one of them were written down, I suppose that even the whole world would not have room for the books that would be written.
1JN.1.1	That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked at and our hands have touched — this we proclaim concerning the Word of life. 
1JN.1.2	The life appeared; we have seen it and testify to it, and we proclaim to you the eternal life, which was with the Father and has appeared to us. 
1JN.1.3	We proclaim to you what we have seen and heard, so that you also may have fellowship with us. And our fellowship is with the Father and with his Son, Jesus Christ. 
1JN.1.4	We write this to make our
1JN.1.5	This is the message we have heard from him and declare to you: God is light; in him there is no darkness at all. 
1JN.1.6	If we claim to have fellowship with him and yet walk in the darkness, we lie and do not live out the truth. 
1JN.1.7	But if we walk in the light, as he is in the light, we have fellowship with one another, and the blood of Jesus, his Son, purifies us from all
1JN.1.8	If we claim to be without sin, we deceive ourselves and the truth is not in us. 
1JN.1.9	If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness. 
1JN.1.10	If we claim we have not sinned, we make him out to be a liar and his word is not in us.
1JN.2.1	My dear children, I write this to you so that you will not sin. But if anybody does sin, we have an advocate with the Father — Jesus Christ, the Righteous One. 
1JN.2.2	He is the atoning sacrifice for our sins, and not only for ours but also for the sins of the whole world.
1JN.2.3	We know that we have come to know him if we keep his commands. 
1JN.2.4	Whoever says, “I know him,” but does not do what he commands is a liar, and the truth is not in that person. 
1JN.2.5	But if anyone obeys his word, love for God
1JN.2.6	Whoever claims to live in him must live as Jesus did.
1JN.2.7	Dear friends, I am not writing you a new command but an old one, which you have had since the beginning. This old command is the message you have heard. 
1JN.2.8	Yet I am writing you a new command; its truth is seen in him and in you, because the darkness is passing and the true light is already shining.
1JN.2.9	Anyone who claims to be in the light but hates a brother or sister
1JN.2.10	Anyone who loves their brother and sister
1JN.2.11	But anyone who hates a brother or sister is in the darkness and walks around in the darkness. They do not know where they are going, because the darkness has blinded them.
1JN.2.12	I am writing to you, dear children,
1JN.2.12	because your sins have been forgiven on account of his name.
1JN.2.13	I am writing to you, fathers,
1JN.2.13	because you know him who is from the beginning.
1JN.2.13	I am writing to you, young men,
1JN.2.13	because you have overcome the evil one.
1JN.2.14	I write to you, dear children,
1JN.2.14	because you know the Father.
1JN.2.14	I write to you, fathers,
1JN.2.14	because you know him who is from the beginning.
1JN.2.14	I write to you, young men,
1JN.2.14	because you are strong,
1JN.2.14	and the word of God lives in you,
1JN.2.14	and you have overcome the evil one.
1JN.2.15	Do not love the world or anything in the world. If anyone loves the world, love for the Father
1JN.2.16	For everything in the world — the lust of the flesh, the lust of the eyes, and the pride of life — comes not from the Father but from the world. 
1JN.2.17	The world and its desires pass away, but whoever does the will of God lives forever.
1JN.2.18	Dear children, this is the last hour; and as you have heard that the antichrist is coming, even now many antichrists have come. This is how we know it is the last hour. 
1JN.2.19	They went out from us, but they did not really belong to us. For if they had belonged to us, they would have remained with us; but their going showed that none of them belonged to us.
1JN.2.20	But you have an anointing from the Holy One, and all of you know the truth.
1JN.2.21	I do not write to you because you do not know the truth, but because you do know it and because no lie comes from the truth. 
1JN.2.22	Who is the liar? It is whoever denies that Jesus is the Christ. Such a person is the antichrist — denying the Father and the Son. 
1JN.2.23	No one who denies the Son has the Father; whoever acknowledges the Son has the Father also.
1JN.2.24	As for you, see that what you have heard from the beginning remains in you. If it does, you also will remain in the Son and in the Father. 
1JN.2.25	And this is what he promised us — eternal life.
1JN.2.26	I am writing these things to you about those who are trying to lead you astray. 
1JN.2.27	As for you, the anointing you received from him remains in you, and you do not need anyone to teach you. But as his anointing teaches you about all things and as that anointing is real, not counterfeit — just as it has taught you, remain in him.
1JN.2.28	And now, dear children, continue in him, so that when he appears we may be confident and unashamed before him at his coming.
1JN.2.29	If you know that he is righteous, you know that everyone who does what is right has been born of him.
1JN.3.1	See what great love the Father has lavished on us, that we should be called children of God! And that is what we are! The reason the world does not know us is that it did not know him. 
1JN.3.2	Dear friends, now we are children of God, and what we will be has not yet been made known. But we know that when Christ appears,
1JN.3.3	All who have this hope in him purify themselves, just as he is pure.
1JN.3.4	Everyone who sins breaks the law; in fact, sin is lawlessness. 
1JN.3.5	But you know that he appeared so that he might take away our sins. And in him is no sin. 
1JN.3.6	No one who lives in him keeps on sinning. No one who continues to sin has either seen him or known him.
1JN.3.7	Dear children, do not let anyone lead you astray. The one who does what is right is righteous, just as he is righteous. 
1JN.3.8	The one who does what is sinful is of the devil, because the devil has been sinning from the beginning. The reason the Son of God appeared was to destroy the devilʼs work. 
1JN.3.9	No one who is born of God will continue to sin, because Godʼs seed remains in them; they cannot go on sinning, because they have been born of God. 
1JN.3.10	This is how we know who the children of God are and who the children of the devil are: Anyone who does not do what is right is not Godʼs child, nor is anyone who does not love their brother and sister.
1JN.3.11	For this is the message you heard from the beginning: We should love one another. 
1JN.3.12	Do not be like Cain, who belonged to the evil one and murdered his brother. And why did he murder him? Because his own actions were evil and his brotherʼs were righteous. 
1JN.3.13	Do not be surprised, my brothers and sisters,
1JN.3.14	We know that we have passed from death to life, because we love each other. Anyone who does not love remains in death. 
1JN.3.15	Anyone who hates a brother or sister is a murderer, and you know that no murderer has eternal life residing in him.
1JN.3.16	This is how we know what love is: Jesus Christ laid down his life for us. And we ought to lay down our lives for our brothers and sisters. 
1JN.3.17	If anyone has material possessions and sees a brother or sister in need but has no pity on them, how can the love of God be in that person? 
1JN.3.18	Dear children, let us not love with words or speech but with actions and in truth.
1JN.3.19	This is how we know that we belong to the truth and how we set our hearts at rest in his presence: 
1JN.3.20	If our hearts condemn us, we know that God is greater than our hearts, and he knows everything. 
1JN.3.21	Dear friends, if our hearts do not condemn us, we have confidence before God 
1JN.3.22	and receive from him anything we ask, because we keep his commands and do what pleases him. 
1JN.3.23	And this is his command: to believe in the name of his Son, Jesus Christ, and to love one another as he commanded us. 
