GEN.1.1	In the 
JOL.2.23	Be glad then, you children of Zion,
JOL.2.23	And 
JOL.2.23	For He has given you the former rain faithfully,
JOL.2.23	And He 
JOL.2.23	The former rain,
JOL.2.23	And the latter rain in the first 
JOL.2.24	The threshing floors shall be full of wheat,
JOL.2.24	And the vats shall overflow with new wine and oil.
JOL.2.25	“So I will restore to you the years 
JOL.2.25	The crawling locust,
JOL.2.25	The consuming locust,
JOL.2.25	And the chewing locust,
JOL.2.25	My great army which I sent among you.
JOL.2.26	You shall 
JOL.2.26	And praise the name of the 
JOL.2.26	Who has dealt wondrously with you;
JOL.2.26	And My people shall never be put to 
JOL.2.27	Then you shall know that I 
JOL.2.27	I 
JOL.2.27	And there is no other.
JOL.2.27	My people shall never be put to shame.
JOL.2.28	“And
JOL.2.28	That 
JOL.2.28	Your sons and your 
JOL.2.28	Your old men shall dream dreams,
JOL.2.28	Your young men shall see visions.
JOL.2.29	And also on 
JOL.2.29	I will pour out My Spirit in those days.
JOL.2.30	“And 
JOL.2.30	Blood and fire and pillars of smoke.
JOL.2.31	The sun shall be turned into darkness,
JOL.2.31	And the moon into blood,
JOL.2.31	Before the coming of the great and awesome day of the 
JOL.2.32	And it shall come to pass
JOL.2.32	Shall be saved.
JOL.2.32	For 
JOL.2.32	As the 
JOL.2.32	Among 
JOL.3.1	“For behold, 
JOL.3.1	When I bring back the captives of Judah and Jerusalem,
JOL.3.2	I will also gather all nations,
JOL.3.2	And bring them down to the Valley of Jehoshaphat;
JOL.3.2	And I 
JOL.3.2	On account of My people, My heritage Israel,
JOL.3.2	Whom they have scattered among the nations;
JOL.3.2	They have also divided up My land.
JOL.3.3	They have 
JOL.3.3	Have given a boy 
JOL.3.3	And sold a girl for wine, that they may drink.
JOL.3.4	“Indeed, what have you to do with Me,
JOL.3.4	O Tyre and Sidon, and all the coasts of Philistia?
JOL.3.4	Will you retaliate against Me?
JOL.3.4	But if you retaliate against Me,
JOL.3.4	Swiftly and speedily I will return your retaliation upon your own head;
JOL.3.5	Because you have taken My silver and My gold,
JOL.3.5	And have carried into your temples My prized possessions.
JOL.3.6	Also the people of Judah and the people of Jerusalem
JOL.3.6	You have sold to the Greeks,
JOL.3.6	That you may remove them far from their borders.
JOL.3.7	“Behold, 
JOL.3.7	Out of the place to which you have sold them,
JOL.3.7	And will return your retaliation upon your own head.
JOL.3.8	I will sell your sons and your daughters
JOL.3.8	Into the hand of the people of Judah,
JOL.3.8	And they will sell them to the 
JOL.3.8	To a people 
JOL.3.8	For the 
JOL.3.9	Proclaim this among the nations:
JOL.3.9	“Prepare for war!
JOL.3.9	Wake up the mighty men,
JOL.3.9	Let all the men of war draw near,
JOL.3.9	Let them come up.
JOL.3.10	Beat your plowshares into swords
JOL.3.10	And your pruning hooks into spears;
JOL.3.10	Let the weak say, ‘I 
JOL.3.11	Assemble and come, all you nations,
JOL.3.11	And gather together all around.
JOL.3.11	Cause 
JOL.3.12	“Let the nations be wakened, and come up to the Valley of Jehoshaphat;
JOL.3.12	For there I will sit to 
JOL.3.13	Put in the sickle, for 
JOL.3.13	Come, go down;
JOL.3.13	For the 
JOL.3.13	The vats overflow—
JOL.3.13	For their wickedness 
JOL.3.14	Multitudes, multitudes in the valley of decision!
JOL.3.14	For 
JOL.3.15	The sun and moon will grow dark,
JOL.3.15	And the stars will diminish their brightness.
JOL.3.16	The 
JOL.3.16	And utter His voice from Jerusalem;
JOL.3.16	The heavens and earth will shake;
JOL.3.16	But the 
JOL.3.16	And the strength of the children of Israel.
JOL.3.17	“So you shall know that I 
JOL.3.17	Dwelling in Zion My 
JOL.3.17	Then Jerusalem shall be holy,
JOL.3.17	And no aliens shall ever pass through her again.”
JOL.3.18	And it will come to pass in that day
JOL.3.18	 the mountains shall drip with new wine,
JOL.3.18	The hills shall flow with milk,
JOL.3.18	And all the brooks of Judah shall be flooded with water;
JOL.3.18	A 
JOL.3.18	And water the Valley of Acacias.
JOL.3.19	“Egypt shall be a desolation,
JOL.3.19	And Edom a desolate wilderness,
JOL.3.19	Because of violence 
JOL.3.19	For they have shed innocent blood in their land.
JOL.3.20	But Judah shall abide forever,
JOL.3.20	And Jerusalem from generation to generation.
JOL.3.21	For I will 
JOL.3.21	For the 
AMO.1.1	The words of Amos, who was among the 
AMO.1.2	And he said:
AMO.1.2	“The 
AMO.1.2	And utters His voice from Jerusalem;
AMO.1.2	The pastures of the shepherds mourn,
AMO.1.2	And the top of 
AMO.1.3	Thus says the 
AMO.1.3	“For three transgressions of 
AMO.1.3	I will not turn away its 
AMO.1.3	Because they have 
AMO.1.4	But I will send a fire into the house of Hazael,
AMO.1.4	Which shall devour the palaces of 
AMO.1.5	I will also break the 
AMO.1.5	And cut off the inhabitant from the Valley of Aven,
AMO.1.5	And the one who holds the scepter from Beth Eden.
AMO.1.5	The people of Syria shall go captive to Kir,”
AMO.1.5	Says the 
AMO.1.6	Thus says the 
AMO.1.6	“For three transgressions of 
AMO.1.6	I will not turn away its 
AMO.1.6	Because they took captive the whole captivity
AMO.1.6	To deliver 
AMO.1.7	But I will send a fire upon the wall of Gaza,
AMO.1.7	Which shall devour its palaces.
AMO.1.8	I will cut off the inhabitant 
AMO.1.8	And the one who holds the scepter from Ashkelon;
AMO.1.8	I will 
AMO.1.8	And 
AMO.1.8	Says the Lord 
AMO.1.9	Thus says the 
AMO.1.9	“For three transgressions of 
AMO.1.9	I will not turn away its 
AMO.1.9	Because they delivered up the whole captivity to Edom,
AMO.1.9	And did not remember the covenant of brotherhood.
AMO.1.10	But I will send a fire upon the wall of Tyre,
AMO.1.10	Which shall devour its palaces.”
AMO.1.11	Thus says the 
AMO.1.11	“For three transgressions of 
AMO.1.11	I will not turn away its 
AMO.1.11	Because he pursued his 
AMO.1.11	And cast off all pity;
AMO.1.11	His anger tore perpetually,
AMO.1.11	And he kept his wrath forever.
AMO.1.12	But 
AMO.1.12	Which shall devour the palaces of Bozrah.”
AMO.1.13	Thus says the 
AMO.1.13	“For three transgressions of 
AMO.1.13	I will not turn away its 
AMO.1.13	Because they ripped open the women with child in Gilead,
AMO.1.13	That they might enlarge their territory.
AMO.1.14	But I will kindle a fire in the wall of 
AMO.1.14	And it shall devour its palaces,
AMO.1.14	Amid shouting in the day of battle,
AMO.1.14	And a tempest in the day of the whirlwind.
AMO.1.15	Their king shall go into captivity,
AMO.1.15	He and his princes together,”
AMO.1.15	Says the 
AMO.2.1	Thus says the 
AMO.2.1	“For three transgressions of Moab, and for four,
AMO.2.1	I will not turn away its 
AMO.2.1	Because he 
AMO.2.2	But I will send a fire upon Moab,
AMO.2.2	And it shall devour the palaces of 
AMO.2.2	Moab shall die with tumult,
AMO.2.2	With shouting 
AMO.2.3	And I will cut off 
AMO.2.3	And slay all its princes with him,”
AMO.2.3	Says the 
AMO.2.4	Thus says the 
AMO.2.4	“For three transgressions of 
AMO.2.4	I will not turn away its 
AMO.2.4	Because they have despised the law of the 
AMO.2.4	And have not kept His commandments.
AMO.2.4	Their lies lead them astray,
AMO.2.5	But I will send a fire upon Judah,
AMO.2.5	And it shall devour the palaces of Jerusalem.”
AMO.2.6	Thus says the 
AMO.2.6	“For three transgressions of 
AMO.2.6	I will not turn away its 
AMO.2.6	Because 
AMO.2.6	And the 
AMO.2.7	They pant after the dust of the earth 
AMO.2.7	And 
AMO.2.7	A man and his father go in to the 
AMO.2.7	To defile My holy name.
AMO.2.8	They lie down 
AMO.2.8	And drink the wine of the condemned 
AMO.2.9	“Yet 
AMO.2.9	Whose height 
AMO.2.9	And he 
AMO.2.9	Yet I 
AMO.2.9	And his roots beneath.
AMO.2.10	Also 
AMO.2.10	And 
AMO.2.10	To possess the land of the Amorite.
AMO.2.11	I raised up some of your sons as 
AMO.2.11	And some of your young men as 
AMO.2.11	Says the 
AMO.2.12	“But you gave the Nazirites wine to drink,
AMO.2.12	And commanded the prophets 
AMO.2.12	‘Do not prophesy!’
AMO.2.13	“Behold,
AMO.2.13	As a cart full of sheaves is weighed down.
AMO.2.14	Therefore flight shall perish from the swift,
AMO.2.14	The strong shall not strengthen his power,
AMO.2.14	Nor shall the mighty deliver himself;
AMO.2.15	He shall not stand who handles the bow,
AMO.2.15	The swift of foot shall not escape,
AMO.2.15	Nor shall he who rides a horse deliver himself.
AMO.2.16	The most courageous men of might
AMO.2.16	Shall flee naked in that day,”
AMO.2.16	Says the 
AMO.3.1	Hear this word that the 
AMO.3.2	“You
AMO.3.2	Therefore I will punish you for all your iniquities.”
AMO.3.3	Can two walk together, unless they are agreed?
AMO.3.4	Will a lion roar in the forest, when he has no prey?
AMO.3.4	Will a young lion cry out of his den, if he has caught nothing?
AMO.3.5	Will a bird fall into a snare on the earth, where there is no trap for it?
AMO.3.5	Will a snare spring up from the earth, if it has caught nothing at all?
AMO.3.6	If a trumpet is blown in a city, will not the people be afraid?
AMO.3.6	If there is calamity in a city, will not the 
AMO.3.7	Surely the Lord 
AMO.3.7	Unless 
AMO.3.8	A lion has roared!
AMO.3.8	Who will not fear?
AMO.3.8	The Lord 
AMO.3.8	Who can but prophesy?
AMO.3.9	“Proclaim in the palaces at Ashdod,
AMO.3.9	And in the palaces in the land of Egypt, and say:
AMO.3.9	‘Assemble on the mountains of Samaria;
AMO.3.9	See great tumults in her midst,
AMO.3.9	And the oppressed within her.
AMO.3.10	For they 
AMO.3.10	Says the 
AMO.3.10	‘Who store up violence and robbery in their palaces.’ ”
AMO.3.11	Therefore thus says the Lord 
AMO.3.11	“An adversary 
AMO.3.11	He shall sap your strength from you,
AMO.3.11	And your palaces shall be plundered.”
AMO.3.12	Thus says the 
AMO.3.12	“As a shepherd takes from the mouth of a lion
AMO.3.12	Two legs or a piece of an ear,
AMO.3.12	So shall the children of Israel be taken out
AMO.3.12	Who dwell in Samaria—
AMO.3.12	In the corner of a bed and on the edge of a couch!
AMO.3.13	Hear and testify against the house of Jacob,”
AMO.3.13	Says the Lord 
AMO.3.14	“That in the day I punish Israel for their transgressions,
AMO.3.14	I will also visit 
AMO.3.14	And the horns of the altar shall be cut off
AMO.3.14	And fall to the ground.
AMO.3.15	I will destroy 
AMO.3.15	The 
AMO.3.15	And the great houses shall have an end,”
AMO.3.15	Says the 
AMO.4.1	Hear this word, you 
AMO.4.1	Who oppress the 
AMO.4.1	Who crush the needy,
AMO.4.1	Who say to your husbands, “Bring 
AMO.4.2	The Lord 
AMO.4.2	“Behold, the days shall come upon you
AMO.4.2	When He will take you away 
AMO.4.2	And your posterity with fishhooks.
AMO.4.3	You will go out 
AMO.4.3	Each one straight ahead of her,
AMO.4.3	And you will be cast into Harmon,”
AMO.4.3	Says the 
AMO.4.4	“Come
AMO.4.4	At 
AMO.4.4	Bring your sacrifices every morning,
AMO.4.4	Your tithes every three days.
AMO.4.5	Offer a sacrifice of thanksgiving with leaven,
AMO.4.5	Proclaim 
AMO.4.5	For this you love,
AMO.4.5	 children of Israel!”
AMO.4.5	Says the Lord 
AMO.4.6	“Also I gave you cleanness of teeth in all your cities,
AMO.4.6	And lack of bread in all your places;
AMO.4.6	Yet you have not returned to Me,”
AMO.4.6	Says the 
AMO.4.7	“I also withheld rain from you,
AMO.4.7	When 
AMO.4.7	I made it rain on one city,
AMO.4.7	I withheld rain from another city.
AMO.4.7	One part was rained upon,
AMO.4.7	And where it did not rain the part withered.
AMO.4.8	So two 
AMO.4.8	But they were not satisfied;
AMO.4.8	Yet you have not returned to Me,”
AMO.4.8	Says the 
AMO.4.9	“I
AMO.4.9	When your gardens increased,
AMO.4.9	Your vineyards,
AMO.4.9	Your fig trees,
AMO.4.9	And your olive trees,
AMO.4.9	The locust devoured 
AMO.4.9	Yet you have not returned to Me,”
AMO.4.9	Says the 
AMO.4.10	“I sent among you a plague 
AMO.4.10	Your young men I killed with a sword,
AMO.4.10	Along with your captive horses;
AMO.4.10	I made the stench of your camps come up into your nostrils;
AMO.4.10	Yet you have not returned to Me,”
AMO.4.10	Says the 
AMO.4.11	“I overthrew 
AMO.4.11	As God overthrew 
AMO.4.11	And you were like a firebrand plucked from the burning;
AMO.4.11	Yet you have not returned to Me,”
AMO.4.11	Says the 
AMO.4.12	“Therefore thus will I do to you, O Israel;
AMO.4.12	Because I will do this to you,
AMO.4.12	Prepare to meet your God, O Israel!”
AMO.4.13	For behold,
AMO.4.13	He who forms mountains,
AMO.4.13	And creates the wind,
AMO.4.13	Who declares to man what his thought 
AMO.4.13	And makes the morning darkness,
AMO.4.13	Who treads the high places of the earth—
AMO.4.13	The 
AMO.5.1	Hear this word which I 
AMO.5.2	The virgin of Israel has fallen;
AMO.5.2	She will rise no more.
AMO.5.2	She lies forsaken on her land;
AMO.5.3	For thus says the Lord 
AMO.5.3	“The city that goes out by a thousand
AMO.5.3	Shall have a hundred left,
AMO.5.3	And that which goes out by a hundred
AMO.5.3	Shall have ten left to the house of Israel.”
AMO.5.4	For thus says the 
AMO.5.4	“Seek Me 
AMO.5.5	But do not seek 
AMO.5.5	Nor enter Gilgal,
AMO.5.5	Nor pass over to 
AMO.5.5	For Gilgal shall surely go into captivity,
AMO.5.5	And 
AMO.5.6	Seek the 
AMO.5.6	Lest He break out like fire 
AMO.5.6	And devour 
AMO.5.6	With no one to quench 
AMO.5.7	You who 
AMO.5.7	And lay righteousness to rest in the earth!”
AMO.5.8	He made the 
AMO.5.8	He turns the shadow of death into morning
AMO.5.8	And makes the day dark as night;
AMO.5.8	He 
AMO.5.8	And pours them out on the face of the earth;
AMO.5.8	The 
AMO.5.9	He rains ruin upon the strong,
AMO.5.9	So that fury comes upon the fortress.
AMO.5.10	They hate the one who rebukes in the gate,
AMO.5.10	And they 
AMO.5.11	Therefore, because you tread down the poor
AMO.5.11	And take grain taxes from him,
AMO.5.11	Though 
AMO.5.11	Yet you shall not dwell in them;
AMO.5.11	You have planted pleasant vineyards,
AMO.5.11	But you shall not drink wine from them.
AMO.5.12	For I 
AMO.5.12	And your mighty sins:
AMO.5.12	Afflicting the just 
AMO.5.12	Diverting the poor 
AMO.5.13	Therefore 
AMO.5.13	For it 
AMO.5.14	Seek good and not evil,
AMO.5.14	That you may live;
AMO.5.14	So the 
AMO.5.14	As you have spoken.
AMO.5.15	Hate evil, love good;
AMO.5.15	Establish justice in the gate.
AMO.5.15	It may be that the 
AMO.5.15	Will be gracious to the remnant of Joseph.
AMO.5.16	Therefore the 
AMO.5.16	“
AMO.5.16	And they shall say in all the highways,
AMO.5.16	‘Alas! Alas!’
AMO.5.16	They shall call the farmer to mourning,
AMO.5.16	And skillful lamenters to wailing.
AMO.5.17	In all vineyards 
AMO.5.17	For 
AMO.5.17	Says the 
AMO.5.18	Woe to you who desire the day of the 
AMO.5.18	For what good 
AMO.5.18	It 
AMO.5.19	It 
AMO.5.19	And a bear met him!
AMO.5.19	Or 
AMO.5.19	Leaned his hand on the wall,
AMO.5.19	And a serpent bit him!
AMO.5.20	 not the day of the 
AMO.5.21	“I
AMO.5.21	And 
AMO.5.22	Though you offer Me burnt offerings and your grain offerings,
AMO.5.22	I will not accept 
AMO.5.22	Nor will I regard your fattened peace offerings.
AMO.5.23	Take away from Me the noise of your songs,
AMO.5.23	For I will not hear the melody of your stringed instruments.
AMO.5.24	But let justice run down like water,
AMO.5.24	And righteousness like a mighty stream.
AMO.5.25	“Did
AMO.5.25	In the wilderness forty years, O house of Israel?
AMO.5.26	You also carried Sikkuth 
AMO.5.26	And Chiun, your idols,
AMO.5.26	The star of your gods,
AMO.5.26	Which you made for yourselves.
AMO.5.27	Therefore I will send you into captivity 
AMO.5.27	Says the 
AMO.6.1	Woe 
AMO.6.1	And 
AMO.6.1	Notable persons in the 
AMO.6.1	To whom the house of Israel comes!
AMO.6.2	Go over to 
AMO.6.2	And from there go to 
AMO.6.2	Then go down to Gath of the Philistines.
AMO.6.2	Or is their territory greater than your territory?
AMO.6.3	Who cause 
AMO.6.4	Who lie on beds of ivory,
AMO.6.4	Stretch out on your couches,
AMO.6.4	Eat lambs from the flock
AMO.6.4	And calves from the midst of the stall;
AMO.6.5	Who sing idly to the sound of stringed instruments,
AMO.6.5	 invent for yourselves 
AMO.6.6	Who 
AMO.6.6	And anoint yourselves with the best ointments,
AMO.6.6	But are not grieved for the affliction of Joseph.
AMO.6.7	Therefore they shall now go 
AMO.6.7	And those who recline at banquets shall be removed.
AMO.6.8	The Lord 
AMO.6.8	The 
AMO.6.8	“I abhor 
AMO.6.8	And hate his palaces;
AMO.6.8	Therefore I will deliver up 
AMO.6.8	And all that is in it.”
AMO.6.9	Then it shall come to pass, that if ten men remain in one house, they shall die. 
AMO.6.10	And when a relative 
AMO.6.10	Then someone will say, “None.”
AMO.6.10	And he will say, 
AMO.6.11	For behold, 
AMO.6.11	He will break the great house into bits,
AMO.6.11	And the little house into pieces.
AMO.6.12	Do horses run on rocks?
AMO.6.12	Does 
AMO.6.12	Yet 
AMO.6.12	And the fruit of righteousness into wormwood,
AMO.6.13	You who rejoice over Lo Debar,
AMO.6.13	Who say, “Have we not taken Karnaim for ourselves
AMO.6.13	By our own strength?”
AMO.6.14	“But, behold, 
AMO.6.14	O house of Israel,”
AMO.6.14	Says the 
AMO.6.14	“And they will afflict you from the 
AMO.6.14	To the Valley of the Arabah.”
AMO.7.1	Thus the Lord 
AMO.7.2	And so it was, when they had finished eating the grass of the land, that I said:
AMO.7.2	“O Lord 
AMO.7.2	Oh, that Jacob may stand,
AMO.7.2	For he 
AMO.7.3	“It shall not be,” said the 
AMO.7.4	Thus the Lord 
AMO.7.5	Then I said:
AMO.7.5	“O Lord 
AMO.7.5	Oh, that Jacob may stand,
AMO.7.5	For he 
