MAT.1.1	Dies ist das Buch der Geschichte Jesu Christi, des Sohnes Davids, des Sohnes Abrahams.
HEB.13.12	Darum hat auch Jesus, um durch sein eigen Blut das Volk zu weihen,
HEB.13.13	So laßt uns denn zu ihm hinausgehen außerhalb des Lagers und seine Schmach auf uns nehmen!
HEB.13.14	Denn hier haben wir keine bleibende Stadt,
HEB.13.15	Durch ihn
HEB.13.16	Vergeßt auch nicht wohlzutun und mitzuteilen, denn an solchen Opfern hat Gott Wohlgefallen! 
HEB.13.17	Gehorcht euern Vorstehern und folgt ihnen! Denn sie sind Wächter zum Heil eurer Seelen,
HEB.13.18	Betet für uns!
HEB.13.19	Und besonders deshalb fordere ich euch zu dieser Fürbitte auf, damit ich euch desto eher zurückgegeben werde.
HEB.13.20	Gott, der Friedenspender, der Jesus, unseren Herrn, aus den Toten heraufgeführt,
HEB.13.21	der vollende euch in allem Guten, damit ihr seinen Willen tut, und wirke selbst in euch, was vor ihm wohlgefällig ist durch Jesus Christus! Ihm sei Ehre in alle Ewigkeit! Amen. 
HEB.13.22	Ich bitte euch, Brüder, nehmt mein Ermahnungswort
HEB.13.23	Die Abreise des Bruders Timotheus ist euch bekannt.
HEB.13.24	Grüßt alle eure Vorsteher und alle Heiligen! Es grüßen euch die Brüder in Italien.
HEB.13.25	Die Gnade sei mit euch allen! Amen. 
JAS.1.1	Jakobus, ein Knecht Gottes und des Herrn Jesus Christus, entbietet den zwölf Stämmen in der Zerstreuung seinen Gruß. 
JAS.1.2	Seid hocherfreut, meine Brüder, wenn ihr in allerlei Anfechtungen fallt! 
JAS.1.3	Ihr wißt ja, daß die Prüfung eures Glaubens Beharrlichkeit zur Folge hat. 
JAS.1.4	Und diese Beharrlichkeit sollt ihr in all euerm Handeln betätigen, damit ihr zur vollen geistlichen Reife kommt und es euch an keiner Tugend mangele. 
JAS.1.5	Fehlt es aber einem von euch an Weisheit, der bitte Gott darum, und dann wird sie ihm gegeben werden; denn Gott gibt allen gern und hält es nachher niemand vor.
JAS.1.6	Er bitte aber im Glauben, ohne zu zweifeln. Denn der Zweifler gleicht einer Meereswoge, die vom Sturm getrieben und geschaukelt wird. 
JAS.1.7	Ein solcher Mensch darf nicht erwarten, etwas von dem Herrn zu empfangen. 
JAS.1.8	Er hat gleichsam zwei Seelen in seiner Brust und schwankt ohne inneren Halt auf allen seinen Wegen hin und her.
JAS.1.9	Der arme, geringe Bruder rühme sich seiner (künftigen) Erhöhung, 
JAS.1.10	der reiche dagegen denke an seine Erniedrigung; denn wie des Grases Blume wird er vergehen. 
JAS.1.11	Die Sonne geht auf mit ihrer Glut und versengt das Gras; dann fällt seine Blume ab, und ihre Schönheit ist dahin.
JAS.1.12	Heil dem Mann, der in Anfechtung ausharrt! Denn hat er sich bewährt, dann soll er das (ewige) Leben empfangen als Siegeskranz, den der Herr verheißen hat denen, die ihn lieben. 
JAS.1.13	Keiner, der versucht wird, behaupte: "Ich werde von Gott versucht." Denn Gott, dem alles Böse fremd ist, versucht niemand (zum Bösen). 
JAS.1.14	Sondern ein jeder wird versucht, indem er von seiner eigenen Lust (zum Bösen) gereizt und verlockt wird. 
JAS.1.15	Wenn dann die Lust empfangen hat,
JAS.1.16	Laßt euch also nicht täuschen,
JAS.1.17	Jede vortreffliche Gabe und jede vollkommene Schenkung
JAS.1.18	Er hat uns nach dem Ratschluß seines Willens durch das Wort der Wahrheit gezeugt, damit wir gleichsam eine Erstlingsschar unter seinen Geschöpfen wären. 
JAS.1.19	Das wißt ihr, meine geliebten Brüder.
JAS.1.20	Denn ein zorniger Mensch tut nicht, was Gott gefällt. 
JAS.1.21	So trennt euch nun von allem unsauberen Wesen und dem letzten Überrest der Bosheit
JAS.1.22	Werdet Täter des Wortes und beschränkt euch nicht aufs Hören: sonst betrügt ihr euch selbst! 
JAS.1.23	Denn wer nur ein Hörer des Wortes ist, aber kein Täter, der gleicht dem Mann, der sein Äußeres im Spiegel beschaut. 
JAS.1.24	Er betrachtet sich wohl, aber er geht weg und vergißt sofort wieder, wie er ausgesehen hat.
JAS.1.25	Wer aber beharrlich in das vollkommene Gesetz der Freiheit
JAS.1.26	Meint einer, er diene Gott, und hält dabei seine Zunge nicht im Zaum, sondern betrügt sein Herz, des Gottesdienst hat keinen Wert. 
JAS.1.27	Ein in Gottes, des Vaters, Augen reiner und fleckenloser Gottesdienst ist es, wenn man Witwen und Waisen in ihrer Trübsal besucht und sich von der Welt unbefleckt bewahrt.
JAS.2.1	Meine Brüder, seid frei von Menschengefälligkeit, wenn ihr wirklich den Glauben habt, den unser Herr Jesus Christus, der zur Herrlichkeit erhoben ist, bewiesen hat und wirkt.
JAS.2.2	Da tritt zum Beispiel in eure (gottesdienstliche) Versammlung ein Mann, geschmückt mit goldenem Ring und prächtigem Gewand, und ihm folgt ein Armer in unsauberem Kleid.
JAS.2.3	Staunt ihr nun den an, der das prächtige Gewand trägt, und sagt zu ihm: "Nimm du diesen Ehrenplatz!", während ihr zu dem Armen sprecht: "Du kannst dort stehen!" — oder auch: "Setze dich unten an meinen Fußschemel!" —, 
JAS.2.4	kommt ihr da nicht mit euch selbst in Widerspruch und zeigt euch als Richter von verwerflicher Sinnesart?
JAS.2.5	Merkt auf, geliebte Brüder: Hat Gott nicht solche, die die Welt arm nennt, auserwählt, damit sie reich seien im Glauben und das Königreich ererben, das er denen verheißen hat, die ihn lieben? 
JAS.2.6	Ihr aber habt den Armen verächtlich behandelt! Sind es nicht gerade die Reichen, die euch Gewalt antun und euch vor die Gerichte schleppen? 
JAS.2.7	Sind sie es nicht, die den herrlichen Namen, nach dem ihr benannt worden seid,
JAS.2.8	Gewiß, wenn ihr (ohne einen Unterschied zu machen) das königliche Gebot
JAS.2.9	Handelt ihr aber nach Menschengunst, so tut ihr Sünde, und das Gesetz verurteilt euch als Übertreter. 
JAS.2.10	Wer nämlich das ganze Gesetz erfüllt, aber gegen ein einziges Gebot verstößt, der hat damit alle Gebote übertreten. 
JAS.2.11	Denn ganz derselbe, der gesagt hat: "Du sollst nicht ehebrechen!", hat auch gesprochen: "Du sollst nicht morden!" Bist du nun zwar kein Ehebrecher, aber ein Mörder, so bist du ein Gesetzesübertreter. 
JAS.2.12	Denkt bei all euerm Reden und Handeln daran, daß ihr einst durch ein Gesetz der Freiheit gerichtet werden sollt.
JAS.2.13	Denn das Gericht trifft erbarmungslos den, der keine Barmherzigkeit geübt hat. Der Barmherzige dagegen braucht kein Gericht zu fürchten. 
JAS.2.14	Was nützt es, meine Brüder, wenn einer behauptet, er habe Glauben, und kann dabei doch keine Werke aufweisen? 
JAS.2.15	Kann ihn denn ein solcher Glaube retten? Denkt euch: Ein Bruder oder eine Schwester hat keine Kleidung, und es fehlt ihnen am täglichen Brot. 
JAS.2.16	Spräche nun einer von euch zu ihnen: "Geht hin in Frieden, wärmt euch und eßt euch satt!", aber ihr gäbt ihnen nicht, was sie zum Leben nötig haben, — was nützt es ihnen? 
JAS.2.17	Ebenso ist's auch mit dem Glauben: hat er keine Werke aufzuweisen, dann ist er in sich selber tot. 
JAS.2.18	Man könnte nun (jemand, der sich auf einen Glauben ohne Werke verläßt) dies erwidern: "Du hast Glauben (wie du sagst), und ich habe (neben dem Glauben auch noch) Werke aufzuweisen. Zeig mir deinen Glauben, der ohne Werke ist, dann will ich dir aus meinen Werken meinen Glauben zeigen! 
JAS.2.19	Du glaubst: es gibt nur einen Gott? Sehr schön! Aber das glauben auch die bösen Geister, und trotzdem zittern sie. 
JAS.2.20	Willst du gedankenloser Mensch nun einsehen, daß ein Glaube ohne Werke nutzlos ist, (so frage dich:) 
JAS.2.21	Ist unser Vater Abraham nicht durch Werke gerechtfertigt worden? Er hat ja seinen Sohn Isaak auf dem Opferaltar dargebracht. 
JAS.2.22	Da siehst du: sein Glaube ging mit seinen Werken Hand in Hand, und erst durch seine Werke ist sein Glaube vollkommen geworden. 
JAS.2.23	So hat sich das Schriftwort erfüllt: Abraham glaubte Gott, und das ward ihm zur Gerechtigkeit gerechnet,
JAS.2.24	Ihr seht also: der Mensch wird durch Werke gerechtfertigt, und nicht durch Glauben allein. 
JAS.2.25	Ist nicht ebenso auch die Dirne Rahab durch Werke gerechtfertigt worden? Sie hat ja die Kundschafter bei sich aufgenommen und sie nachher auf einem anderen Weg entkommen lassen. 
JAS.2.26	Geradeso wie der Leib ohne Geist tot ist, ebenso ist auch der Glaube ohne Werke tot.
JAS.3.1	Tretet nicht so zahlreich als Lehrer auf, meine Brüder, und bedenkt, daß wir (Lehrer) eine größere Verantwortung haben (als andere)! 
JAS.3.2	Wir alle fehlen ja in vielen Stücken. Wer sich beim Reden nicht versündigt, der ist ein geistlich reifer Mann und vermag (außer der Zunge) auch den ganzen Leib im Zaum zu halten. 
JAS.3.3	Legen wir den Pferden, um sie uns gehorsam zu machen, die Zügel ins Maul, so lenken wir dadurch auch ihren ganzen Leib. 
JAS.3.4	Ja die größten und von heftigen Winden bewegten Schiffe lenkt der Steuermann mit einem ganz kleinen Ruder, wohin er will. 
JAS.3.5	So ist auch die Zunge nur ein kleines Glied; und wie großprahlerisch tritt sie auf! Welch großen Wald vermag ein kleines Feuer anzuzünden! 
JAS.3.6	Auch die Zunge ist ein Feuer. Die Zunge gibt sich her zum Schmuck der Gerechtigkeit.
JAS.3.7	Die Kraft aller möglichen Geschöpfe — der vierfüßigen Tiere und Vögel, der Schlangen und der Fische — kann der Mensch mit seiner Kraft zähmen und hat sie auch gezähmt. 
JAS.3.8	Die Zunge aber vermag kein Mensch zu zähmen: sie ist ein unstetes Übel, voll tödlichen Giftes. 
JAS.3.9	Mit ihr preisen wir den Herrn und Vater, und mit ihr fluchen wir den Menschen, die doch nach Gottes Bild geschaffen sind. 
JAS.3.10	So gehen aus demselben Mund Segen und Fluch hervor. Das, meine Brüder, sollte nicht so sein. 
JAS.3.11	Läßt denn eine Quelle aus derselben Mündung süßes und bitteres Wasser sprudeln? 
JAS.3.12	Kann ein Feigenbaum, meine Brüder, Oliven tragen oder ein Weinstock Feigen? Ebensowenig kann eine Salzquelle süßes Wasser geben. 
JAS.3.13	Wer unter euch ist weise und verständig? Der zeige durch seinen guten Wandel und handle in jener Sanftmut, die aus der Weisheit fließt! 
JAS.3.14	Habt ihr aber bitteren Neid und Zank in euerm Herzen, so rühmt euch nur nicht (eurer Weisheit)! Denn das widerspräche der Wahrheit, und ihr würdet als Lügner erfunden. 
JAS.3.15	Solche Weisheit
JAS.3.16	Denn wo Neid und Hader herrschen, da finden sich auch Unordnung und alle möglichen schlimmen Händel. 
JAS.3.17	Die Weisheit aber, die von oben stammt, ist vor allem lauter, dann friedfertig, nachgiebig, folgsam, voll Erbarmen und reich an guten Früchten, frei von Argwohn und Heuchelei. 
JAS.3.18	Der Same, der die Frucht der Gerechtigkeit hervorbringt, wird von denen, die Frieden stiften, mit friedfertigem Sinn ausgestreut.
JAS.4.1	Woher kommen die Kämpfe und Streitigkeiten (über mein und dein) unter euch? Kommen sie nicht aus euern (auf irdischen Reichtum gerichteten) Lüsten, die in euern Gliedern (mit euerm besseren Ich) im Streit sind? 
JAS.4.2	Ihr seid begehrlich (nach den Gütern dieser Welt) und bekommt sie doch nicht. Ihr haßt und neidet einander bis auf den Tod, aber damit erreicht ihr eure Wünsche nicht. Ihr lebt in offenem Kampf und Krieg und erlangt doch nichts, weil ihr nicht betet. 
JAS.4.3	Oder: ihr betet und empfangt doch nichts, weil ihr in böser Absicht betet: ihr wollt ja (die irdischen Güter, um die ihr bittet) in euern Lüsten vergeuden. 
JAS.4.4	Ihr treulosen Gemeinden, die ihr den Bund mit Gott gebrochen habt, wißt ihr denn nicht, daß die Freundschaft mit der Welt Feindschaft ist gegen Gott? Wer also der Welt Freund sein will, der macht sich zu Gottes Feind. 
JAS.4.5	Oder meint ihr, die Worte der Schrift
JAS.4.6	Um so größer aber ist die Gnade, die er gibt.
JAS.4.7	Darum unterwerft euch Gott (in Demut)! Widersteht dem Teufel, so wird er von euch fliehen! 
JAS.4.8	Naht euch Gott, so wird er sich euch nahen! Reinigt eure Hände, ihr Sünder, und heiligt eure Herzen, ihr Unentschiedenen!
JAS.4.9	Fühlt euer Elend
JAS.4.10	Ja demütigt euch vor dem Herrn, so wird er euch erhöhen! 
JAS.4.11	Redet einander nichts Böses nach, ihr Brüder! Wer seinem Bruder Böses nachredet oder seinen Bruder richtet, der mißbraucht das Gesetz und stellt sich über das Gesetz. Stellst du dich aber über das Gesetz, so bist du nicht ein Täter des Gesetzes, sondern du wirfst dich zum Richter auf. 
JAS.4.12	Doch nur einer ist Gesetzgeber und Richter: er, der die Macht hat, zu erretten und zu verderben.
JAS.4.13	Jetzt ein Wort an euch, die ihr sagt: "Heute oder morgen wollen wir in die und die Stadt gehen, dort ein Jahr bleiben, Geschäfte machen und Geld verdienen" 
JAS.4.14	- und ihr wißt nicht einmal, was der morgende Tag bringt. Was ist denn euer Leben? Nur ein Dunst, der eine Weile sichtbar ist und dann verschwindet. — 
JAS.4.15	Statt dessen solltet ihr sagen: "Wenn es des Herrn Wille ist, so werden wir leben und dies oder jenes tun." 
JAS.4.16	Nun aber prahlt ihr mit euern guten Tagen. All dies Prahlen ist verwerflich. 
JAS.4.17	Wer nun das Gute kennt, das er zu tun hat, und es unterläßt, dem wird es als Sünde angerechnet.
JAS.5.1	Jetzt ein Wort an euch, ihr Reichen: Weint und wehklagt ob der Leiden, die über euch kommen sollen! 
JAS.5.2	Euer Reichtum ist vermodert, und eure Kleider sind von Motten zernagt. 
JAS.5.3	Euer Gold und Silber ist mit Rost überzogen, und ihr Rost wird euch ein Zeugnis sein
JAS.5.4	Aber der Lohn, um den ihr die Arbeiter, die eure Felder gemäht, betrogen habt, der schreit (zum Himmel), und die Klagerufe der Schnitter sind zu den Ohren des Herrn der Heerscharen gedrungen.
JAS.5.5	Ihr habt auf Erden geschwelgt und gepraßt; wie Tiere am Schlachttag seid ihr nach Genüssen gierig gewesen.
JAS.5.6	Verurteilt und hingemordet habt ihr den Gerechten, der eurer Willkür wehrlos preisgegeben war!
JAS.5.7	Harrt denn geduldig aus, ihr Brüder,
JAS.5.8	So harrt auch ihr in Geduld, stärkt eure Herzen; denn die Wiederkunft des Herrn ist nahe! 
JAS.5.9	Seufzt nicht widereinander,
JAS.5.10	Zum Vorbild im Leiden und in der Geduld nehmt euch, Brüder, die Propheten, die im Namen des Herrn geredet hatten! 
JAS.5.11	Die Dulder preisen wir selig. Wie Hiob geduldig ausharrte, das habt ihr vernommen, und aus dem (herrlichen) Ende, das der Herr (seinen Leiden) bereitet hat, erkennt man deutlich, daß der Herr reich ist an Mitleid und Erbarmen. 
JAS.5.12	Vor allem, meine Brüder, schwört nicht, weder bei dem Himmel noch bei der Erde noch mit irgendeinem anderen Schwur!
JAS.5.13	Ist jemand unter euch bekümmert, der bete! Ist einer frohes Mutes, der singe Loblieder! 
JAS.5.14	Ist jemand unter euch krank, der lasse die Ältesten der Gemeinde rufen! Die sollen dann über ihn beten und ihn mit Öl salben in dem Namen des Herrn.
JAS.5.15	Das im Glauben dargebrachte Gebet wird den Kranken erretten, und der Herr wird ihn aufrichten (von seiner Krankheit). Und hat er Sünden begangen, so sollen sie ihm vergeben werden. 
JAS.5.16	So bekennt denn einander eure Sünden und betet füreinander, damit ihr Heilung findet! Denn das inständige Gebet eines Gerechten hat große Kraft. 
JAS.5.17	Elia war ein Mensch ganz ebenso wie wir, und er betete ernstlich, es möge nicht regnen. Und wirklich, es regnete drei Jahre und sechs Monate nicht auf Erden. 
JAS.5.18	Dann betete er abermals. Da gab der Himmel wieder Regen, und die Erde brachte ihre Frucht hervor. 
JAS.5.19	Meine Brüder, irrt einer unter euch von dem Weg der Wahrheit ab, und es führt ihn jemand wieder zurück, 
JAS.5.20	so wißt: Wer einen Sünder von seinem Irrweg zurückbringt, der rettet des Sünders Seele vom Tod und gewinnt ihm Vergebung für viele Sünden.
1PE.1.1	Petrus, ein Apostel Jesu Christi, begrüßt die Fremdlinge, die in Pontus, Galatien, Kappadozien, Asien und Bithynien in der Zerstreuung leben,
1PE.1.2	und die nach der Vorherbestimmung Gottes des Vaters
1PE.1.3	Gepriesen sei der Gott und Vater unseres Herrn Jesus Christus!
1PE.1.4	zu einem unvergänglichen, unbefleckten
1PE.1.5	für euch, die ihr in Gottes Kraft durch den Glauben für ein Heil bewahrt werdet, das sich nun bald am Ende der Tage
1PE.1.6	Darüber freut ihr euch, obwohl ihr jetzt noch eine kurze Zeit, wenn es so sein soll,
1PE.1.7	Dadurch soll sich euer Glaube bewähren und köstlicher erfunden werden als vergängliches Gold, das die Feuerprobe besteht. Das
1PE.1.8	Den liebt ihr, ohne ihn von Angesicht zu kennen; an den glaubt ihr, ohne ihn jetzt zu sehen. Dem jauchzt ihr entgegen mit unbeschreiblicher, himmlischer Freude, 
1PE.1.9	weil ihr als Frucht
1PE.1.10	Diesem Heil haben die Propheten, die von der euch bestimmten Gnade geweissagt haben, eifrig nachgeforscht. 
1PE.1.11	Sie suchten auszuspüren, auf welche Zeit und Ereignisse der in ihnen wirkende Geist Christi hinweise, als er ihnen vorherbezeugte die Leiden, die Christus dulden, und die Stufen der Herrlichkeit,
1PE.1.12	Ihnen
1PE.1.13	Umgürtet denn die Lenden eures Sinnes,
1PE.1.14	Weil der Gehorsam eure Freude ist, so fallt nicht zurück
1PE.1.15	Sondern, wie der heilig ist, der euch berufen hat, so werdet auch ihr heilig in euerm ganzen Wandel! 
1PE.1.16	Denn es steht geschrieben: Ihr sollt heilig sein, denn ich bin heilig.
1PE.1.17	Und wenn ihr den als Vater anruft, der unparteiisch jedem nach seinem Tun das Urteil spricht, dann wandelt auch in heiliger Scheu vor ihm, solange ihr noch hier auf Erden pilgert!
1PE.1.18	Denkt daran: nicht mit vergänglichen Dingen, mit Silber oder Gold,
1PE.1.19	sondern mit einem kostbaren Blut, ähnlich dem eines fehllosen und unbefleckten Lammes.
1PE.1.20	Dies Lamm ist Christus, der schon vor Grundlegung der Welt als solches ausersehen,
1PE.1.21	Durch ihn glaubt ihr an Gott,
1PE.1.22	Weil ihr eure Seelen durch den Gehorsam gegen die Wahrheit gereinigt habt, so daß ihr ungeheuchelte Bruderliebe beweisen könnt, so liebt einander aus reinem Herzen und mit ganzer Kraft! 
1PE.1.23	Ihr seid ja nicht aus vergänglichem, sondern aus unvergänglichem Samen wiedergeboren durch Gottes lebendiges, ewig bleibendes Wort.
1PE.1.24	Denn: Alles Fleisch
1PE.1.25	das Wort des Herrn aber bleibt in Ewigkeit.
1PE.2.1	So legt nun alle Bosheit und alle Falschheit, jede Art von Heuchelei und Neid und alle Verleumdung von euch ab! 
1PE.2.2	Gleich neugeborenen Kindlein seid begierig nach der unverfälschten Geistesmilch des Wortes! Dadurch sollt ihr hinanwachsen zur Errettung, 
1PE.2.3	wenn ihr wirklich geschmeckt habt, daß der Herr gütig ist.
1PE.2.4	Kommt zu ihm, dem lebendigen Stein, der zwar von den Menschen verworfen, aber in Gottes Augen auserwählt und köstlich ist!
1PE.2.5	Laßt euch (auf diesem Grundstein) auch selbst als lebendige Steine erbauen zu einem geistlichen Haus! Dann seid ihr auch eine heilige Priesterschaft
1PE.2.6	Deshalb heißt es in der Schrift: Sieh, ich lege in Zion einen auserwählten, köstlichen Eckstein; wer auf ihn vertraut, soll nicht zuschanden werden.
