GEN.1.1	Im Anfang schuf Gott die Himmel 
LUK.19.11	Während sie aber dieses hörten, fügte er noch ein Gleichnis hinzu, 
LUK.19.12	Er sprach nun: Ein gewisser hochgeborener Mann zog in ein fernes Land, um ein Reich für sich zu empfangen und wiederzukommen. 
LUK.19.13	Er berief aber seine zehn 
LUK.19.14	Seine Bürger aber haßten ihn und schickten eine Gesandtschaft hinter ihm her und sagten: Wir wollen nicht, daß dieser über uns herrsche. 
LUK.19.15	Und es geschah, als er zurückkam, nachdem er das Reich empfangen hatte, da hieß er diese Knechte, denen er das Geld gegeben, zu sich rufen, auf daß er wisse, was ein jeder erhandelt hätte. 
LUK.19.16	Der erste aber kam herbei und sagte: Herr, dein Pfund hat zehn Pfunde hinzugewonnen. 
LUK.19.17	Und er sprach zu ihm: Wohl, du guter Knecht! weil du im Geringsten treu warst, so sei gewalthabend über zehn Städte. 
LUK.19.18	Und der zweite kam und sagte: Herr, dein Pfund hat fünf Pfunde eingetragen. 
LUK.19.19	Er sprach aber auch zu diesem: Und du, sei über fünf Städte. 
LUK.19.20	Und ein anderer kam und sagte: Herr, siehe, hier ist dein Pfund, welches ich in einem Schweißtuch verwahrt hielt; 
LUK.19.21	denn ich fürchtete dich, weil du ein strenger Mann bist: du nimmst, was du nicht hingelegt, und du erntest, was du nicht gesät hast. 
LUK.19.22	Er spricht zu ihm: Aus deinem Munde werde ich dich richten, du böser Knecht! Du wußtest, daß ich ein strenger Mann bin, der ich nehme, was ich nicht hingelegt, und ernte, was ich nicht gesät habe? 
LUK.19.23	Und warum hast du mein Geld nicht in eine Bank gegeben, und wenn ich kam, hätte ich es mit Zinsen eingefordert? 
LUK.19.24	Und er sprach zu den Dabeistehenden: Nehmet das Pfund von ihm und gebet es dem, der die zehn Pfunde hat. 
LUK.19.25	(Und sie sprachen zu ihm: Herr, er hat zehn Pfunde!) 
LUK.19.26	Denn ich sage euch: Jedem, der da hat, wird gegeben werden; von dem aber, der nicht hat, von dem wird selbst, was er hat, weggenommen werden. 
LUK.19.27	Doch jene, meine Feinde, die nicht wollten, daß ich über sie herrschen sollte, bringet her und erschlaget sie vor mir. -
LUK.19.28	Und als er dies gesagte hatte, zog er voran, indem er hinaufging nach Jerusalem. 
LUK.19.29	Und es geschah, als er Bethphage und Bethanien nahte, gegen den Berg hin, welcher Ölberg genannt wird, sandte er zwei seiner Jünger 
LUK.19.30	und sprach: Gehet hin in das Dorf gegenüber, und wenn ihr hineinkommet, werdet ihr ein Füllen darin angebunden finden, auf welchem kein Mensch je gesessen hat; bindet es los und führet es her. 
LUK.19.31	Und wenn jemand euch fragt: Warum bindet ihr es los? so sprechet also zu ihm: Der Herr bedarf seiner. 
LUK.19.32	Und die Abgesandten gingen hin und fanden es, wie er ihnen gesagt hatte. 
LUK.19.33	Als sie aber das Füllen losbanden, sprachen die Herren desselben zu ihnen: Warum bindet ihr das Füllen los? 
LUK.19.34	Sie aber sprachen: Der Herr bedarf seiner. 
LUK.19.35	Und sie führten es zu Jesu; und sie warfen ihre Kleider auf das Füllen und setzten Jesum darauf. 
LUK.19.36	Während er aber hinzog, breiteten sie ihre Kleider aus auf den Weg. 
LUK.19.37	Und als er schon nahte und bei dem Abhang des Ölbergs war, fing die ganze Menge der Jünger an, mit lauter Stimme freudig Gott zu loben über alle die Wunderwerke, die sie gesehen hatten, 
LUK.19.38	indem sie sagten: "Gepriesen sei der König, der da kommt im Namen des Herrn!" 
LUK.19.39	Und etliche der Pharisäer aus der Volksmenge sprachen zu ihm: Lehrer, verweise es deinen Jüngern. 
LUK.19.40	Und er antwortete und sprach zu ihnen: Ich sage euch, wenn diese schweigen, so werden die Steine schreien.
LUK.19.41	Und als er sich näherte und die Stadt sah, weinte er über sie 
LUK.19.42	und sprach: Wenn auch du erkannt hättest, und selbst an diesem deinem Tage, was zu deinem Frieden dient! Jetzt aber ist es vor deinen Augen verborgen. 
LUK.19.43	Denn Tage werden über dich kommen, daß deine Feinde einen Wall um dich aufschütten und dich umzingeln und dich von allen Seiten einengen werden; 
LUK.19.44	und sie werden dich und deine Kinder in dir zu Boden werfen und werden in dir nicht einen Stein auf dem anderen lassen, darum daß du die Zeit deiner Heimsuchung nicht erkannt hast. 
LUK.19.45	Und als er in den Tempel 
LUK.19.46	indem er zu ihnen sprach: Es steht geschrieben: "Mein Haus ist ein Bethaus"; 
LUK.19.47	Und er lehrte täglich im Tempel; 
LUK.19.48	Und sie fanden nicht, was sie tun sollten, denn das ganze Volk hing an seinem Munde. 
LUK.20.1	Und es geschah an einem der Tage, als er das Volk im Tempel 
LUK.20.2	und sprachen zu ihm und sagten: Sage uns, in welchem Recht 
LUK.20.3	Er aber antwortete und sprach zu ihnen: Auch ich will euch ein Wort fragen, und saget mir: 
LUK.20.4	Die Taufe Johannes, war sie vom Himmel oder von Menschen? 
LUK.20.5	Sie aber überlegten miteinander und sprachen: Wenn wir sagen: vom Himmel, so wird er sagen: Warum habt ihr ihm nicht geglaubt? 
LUK.20.6	Wenn wir aber sagen: von Menschen, so wird das ganze Volk uns steinigen, denn es ist überzeugt, daß Johannes ein Prophet ist. 
LUK.20.7	Und sie antworteten, sie wüßten nicht, woher. 
LUK.20.8	Und Jesus sprach zu ihnen: So sage auch ich euch nicht, in welchem Recht ich diese Dinge tue.
LUK.20.9	Er fing aber an, zu dem Volke dieses Gleichnis zu sagen: Ein Mensch pflanzte einen Weinberg und verdingte ihn an Weingärtner 
LUK.20.10	Und zur bestimmten Zeit sandte er einen Knecht 
LUK.20.11	Und er fuhr fort und sandte einen anderen Knecht 
LUK.20.12	Und er fuhr fort und sandte einen dritten; sie aber verwundeten auch diesen und warfen ihn hinaus. 
LUK.20.13	Der Herr des Weinbergs aber sprach: Was soll ich tun? Ich will meinen geliebten Sohn senden; vielleicht, wenn sie diesen sehen, werden sie sich scheuen. 
LUK.20.14	Als aber die Weingärtner ihn sahen, überlegten sie miteinander und sagten: Dieser ist der Erbe; 
LUK.20.15	Und als sie ihn aus dem Weinberg hinausgeworfen hatten, töteten sie ihn. Was wird nun der Herr des Weinbergs ihnen tun? 
LUK.20.16	Er wird kommen und diese Weingärtner umbringen und den Weinberg anderen geben. Als sie aber das hörten, sprachen sie: Das sei ferne! 
LUK.20.17	Er aber sah sie an und sprach: Was ist denn dies, das geschrieben steht: "Der Stein, den die Bauleute verworfen haben, dieser ist zum Eckstein 
LUK.20.18	Jeder, der auf jenen Stein fällt, wird zerschmettert werden; auf welchen irgend er aber fallen wird, den wird er zermalmen. 
LUK.20.19	Und die Hohenpriester und die Schriftgelehrten suchten zu derselben Stunde die Hände an ihn zu legen, und sie fürchteten das Volk; denn sie erkannten, daß er dieses Gleichnis auf sie geredet hatte.
LUK.20.20	Und sie beobachteten ihn und sandten Auflaurer 
LUK.20.21	Und sie fragten ihn und sagten: Lehrer, wir wissen, daß du recht redest und lehrst und die Person nicht ansiehst, sondern den Weg Gottes in Wahrheit lehrst. 
LUK.20.22	Ist es uns erlaubt, dem Kaiser Steuer zu geben oder nicht? 
LUK.20.23	Aber ihre Arglist wahrnehmend, sprach er zu ihnen: Was versuchet ihr mich? 
LUK.20.24	Zeiget mir einen Denar. Wessen Bild und Überschrift hat er? Sie aber antworteten und sprachen: Des Kaisers. 
LUK.20.25	Er aber sprach zu ihnen: Gebet daher dem Kaiser, was des Kaisers ist, und Gott, was Gottes ist. 
LUK.20.26	Und sie vermochten nicht, ihn in seinem Worte vor dem Volke zu fangen; und sich über seine Antwort verwundernd, schweigen sie.
LUK.20.27	Es kamen aber etliche der Sadducäer herzu, welche einwenden, es gebe keine Auferstehung, und fragten ihn 
LUK.20.28	und sagten: Lehrer, Moses hat uns geschrieben: Wenn jemandes Bruder stirbt, der ein Weib hat, und dieser kinderlos stirbt, daß sein Bruder das Weib nehme und seinem Bruder Samen erwecke. 
LUK.20.29	Es waren nun sieben Brüder. Und der erste nahm ein Weib und starb kinderlos; 
LUK.20.30	und der zweite 
LUK.20.31	und der dritte nahm sie; desgleichen aber auch die sieben hinterließen keine Kinder und starben. 
LUK.20.32	Zuletzt aber 
LUK.20.33	In der Auferstehung nun, wessen Weib von ihnen wird sie? denn die sieben hatten sie zum Weibe. 
LUK.20.34	Und Jesus sprach zu ihnen: Die Söhne dieser Welt 
LUK.20.35	die aber würdig geachtet werden, jener Welt 
LUK.20.36	denn sie können auch nicht mehr sterben, denn sie sind Engeln gleich und sind Söhne Gottes, da sie Söhne der Auferstehung sind. 
LUK.20.37	Daß aber die Toten auferstehen, hat auch Moses angedeutet "in dem Dornbusch", wenn er den Herrn "den Gott Abrahams und den Gott Isaaks und den Gott Jakobs" nennt. 
LUK.20.38	Er ist aber nicht Gott der Toten, sondern der Lebendigen; denn für ihn leben alle.
LUK.20.39	Einige der Schriftgelehrten aber antworteten und sprachen: Lehrer, du hast wohl 
LUK.20.40	Denn sie wagten nicht mehr, ihn über irgend etwas zu befragen. 
LUK.20.41	Er aber sprach zu ihnen: Wie sagen sie, daß der Christus Davids Sohn sei, 
LUK.20.42	und David selbst sagt im Buche der Psalmen: "Der Herr sprach zu meinem Herrn: Setze dich zu meiner Rechten, 
LUK.20.43	bis ich deine Feinde lege zum Schemel deiner Füße"? 
LUK.20.44	David also nennt ihn Herr, und wie ist er sein Sohn? 
LUK.20.45	Während aber das ganze Volk zuhörte, sprach er zu seinen Jüngern: 
LUK.20.46	Hütet euch vor den Schriftgelehrten, die in langen Gewändern einhergehen wollen und die Begrüßungen auf den Märkten lieben und die ersten Sitze in den Synagogen und die ersten Plätze bei den Gastmählern; 
LUK.20.47	welche die Häuser der Witwen verschlingen und zum Schein 
LUK.21.1	Aufblickend aber sah er die Reichen ihre Gaben in den Schatzkasten legen. 
LUK.21.2	Er sah aber auch eine gewisse arme Witwe zwei Scherflein 
LUK.21.3	Und er sprach: In Wahrheit sage ich euch, daß diese arme Witwe mehr eingelegt hat als alle. 
LUK.21.4	Denn alle diese haben von ihrem Überfluß eingelegt zu den Gaben 
LUK.21.5	Und als etliche von dem Tempel 
LUK.21.6	Diese Dinge, die ihr sehet-Tage werden kommen, in welchen nicht ein Stein auf dem anderen gelassen wird, der nicht abgebrochen werden wird. 
LUK.21.7	Sie fragten ihn aber und sagten: Lehrer, wann wird denn dieses sein, und was ist das Zeichen, wann dieses geschehen soll? 
LUK.21.8	Er aber sprach: Sehet zu, daß ihr nicht verführt werdet! denn viele werden unter meinem Namen 
LUK.21.9	Wenn ihr aber von Kriegen und Empörungen hören werdet, so erschrecket nicht; denn dies muß zuvor geschehen, aber das Ende ist nicht alsbald. 
LUK.21.10	Dann sprach er zu ihnen: Es wird sich Nation wider Nation erheben und Königreich wider Königreich; 
LUK.21.11	und es werden große Erdbeben sein an verschiedenen Orten, und Hungersnöte und Seuchen; auch Schrecknisse und große Zeichen vom Himmel wird es geben. 
LUK.21.12	Vor diesem allem aber werden sie ihre Hände an euch legen und euch verfolgen, indem sie euch an die Synagogen und Gefängnisse überliefern, um euch vor Könige und Statthalter zu führen um meines Namens willen. 
LUK.21.13	Es wird euch aber zu einem Zeugnis ausschlagen. 
LUK.21.14	Setzet es nun fest in euren Herzen, nicht vorher darauf zu sinnen, wie ihr euch verantworten sollt; 
LUK.21.15	denn ich werde euch Mund und Weisheit geben, welcher alle eure Widersacher nicht werden widersprechen oder widerstehen können. 
LUK.21.16	Ihr werdet aber sogar von Eltern und Brüdern und Verwandten und Freunden überliefert werden, und sie werden etliche von euch zum Tode bringen; 
LUK.21.17	und ihr werdet von allen gehaßt werden um meines Namens willen. 
LUK.21.18	Und nicht ein Haar von eurem Haupte wird verloren gehen. 
LUK.21.19	Gewinnet 
LUK.21.20	Wenn ihr aber Jerusalem von Heerscharen umzingelt sehet, alsdann erkennet, daß ihre Verwüstung nahe gekommen ist. 
LUK.21.21	Daß alsdann, die in Judäa sind, auf die Berge fliehen, und die in ihrer 
LUK.21.22	Denn dies sind Tage der Rache, daß alles erfüllt werde, was geschrieben steht. 
LUK.21.23	Wehe aber den Schwangeren und den Säugenden in jenen Tagen! denn große Not wird in 
LUK.21.24	Und sie werden fallen durch die Schärfe des Schwertes und gefangen weggeführt werden unter alle Nationen; und Jerusalem wird zertreten werden von den Nationen, bis die Zeiten der Nationen erfüllt sein werden. 
LUK.21.25	Und es werden Zeichen sein an Sonne und Mond und Sternen, und auf der Erde Bedrängnis der Nationen in Ratlosigkeit bei 
LUK.21.26	indem die Menschen verschmachten 
LUK.21.27	Und dann werden sie den Sohn des Menschen kommen sehen in einer Wolke mit Macht und großer Herrlichkeit. 
LUK.21.28	Wenn aber diese Dinge anfangen zu geschehen, so blicket auf und hebet eure Häupter empor, weil eure Erlösung naht.
LUK.21.29	Und er sprach ein Gleichnis zu ihnen: Sehet den Feigenbaum und alle Bäume; 
LUK.21.30	wenn sie schon ausschlagen, so erkennet ihr von selbst, indem ihr es sehet, daß der Sommer schon nahe ist. 
LUK.21.31	So auch ihr, wenn ihr dies geschehen sehet, erkennet, daß das Reich Gottes nahe ist. 
LUK.21.32	Wahrlich, ich sage euch, daß dieses Geschlecht nicht vergehen wird, bis alles geschehen ist. 
LUK.21.33	Der Himmel und die Erde werden vergehen, meine Worte aber werden nicht vergehen. 
LUK.21.34	Hütet euch aber, daß eure Herzen nicht etwa beschwert werden durch Völlerei und Trunkenheit und Lebenssorgen, und jener Tag plötzlich über euch hereinbreche; 
LUK.21.35	denn wie ein Fallstrick wird er kommen über alle, die auf dem ganzen Erdboden 
LUK.21.36	Wachet nun, zu aller Zeit betend, auf daß ihr würdig geachtet werdet, diesem allem, was geschehen soll, 
LUK.21.37	Er lehrte aber des Tages in dem Tempel, 
LUK.21.38	Und das ganze Volk kam frühmorgens im Tempel 
LUK.22.1	Es nahte aber das Fest der ungesäuerten Brote, welches Passah genannt wird. 
LUK.22.2	Und die Hohenpriester und die Schriftgelehrten suchten, wie sie ihn umbrächten, denn sie fürchteten das Volk. 
LUK.22.3	Aber Satan fuhr in Judas, der Iskariot zubenamt ist, welcher aus der Zahl der Zwölfe war. 
LUK.22.4	Und er ging hin und besprach sich mit den Hohenpriestern und Hauptleuten, wie er ihnen denselben überliefere. 
LUK.22.5	Und sie waren erfreut und kamen überein, ihm Geld zu geben. 
LUK.22.6	Und er versprach es und suchte eine Gelegenheit, um ihnen denselben zu überliefern ohne Volksauflauf. 
LUK.22.7	Es kam aber der Tag der ungesäuerten Brote, an welchem das Passah geschlachtet werden mußte. 
LUK.22.8	Und er sandte Petrus und Johannes und sprach: Gehet hin und bereitet uns das Passah, auf daß wir es essen. 
LUK.22.9	Sie aber sprachen zu ihm: Wo willst du, daß wir es bereiten? 
LUK.22.10	Er aber sprach zu ihnen: Siehe, wenn ihr in die Stadt kommet, wird euch ein Mensch begegnen, der einen Krug Wasser trägt; folget ihm in das Haus, wo er hineingeht. 
LUK.22.11	Und ihr sollt zu dem Herrn des Hauses sagen: Der Lehrer sagt dir: Wo ist das Gastzimmer, wo ich mit meinen Jüngern das Passah essen mag? 
LUK.22.12	Und jener wird euch einen großen, mit Polstern belegten Obersaal zeigen; daselbst bereitet. 
LUK.22.13	Als sie aber hingingen, fanden sie es, wie er ihnen gesagt hatte; und sie bereiteten das Passah. 
LUK.22.14	Und als die Stunde gekommen war, legte er sich zu Tische, und die 
LUK.22.15	Und er sprach zu ihnen: Mit Sehnsucht habe ich mich gesehnt, dieses Passah mit euch zu essen, ehe ich leide. 
LUK.22.16	Denn ich sage euch, daß ich hinfort nicht mehr davon essen werde, bis daß es erfüllt sein wird im Reiche Gottes. 
LUK.22.17	Und er nahm einen Kelch, dankte und sprach: Nehmet diesen und teilet ihn unter euch. 
LUK.22.18	Denn ich sage euch, daß ich nicht von dem Gewächs des Weinstocks trinken werde, bis das Reich Gottes komme. 
LUK.22.19	Und er nahm Brot, dankte, brach und gab es ihnen und sprach: Dies ist mein Leib, der für euch gegeben wird; dieses tut zu meinem Gedächtnis! 
LUK.22.20	Desgleichen auch den Kelch nach dem Mahle und sagte: Dieser Kelch ist der neue Bund in meinem Blute, das für euch vergossen wird.
LUK.22.21	Doch siehe, die Hand dessen, der mich überliefert, ist mit mir über Tische. 
LUK.22.22	Und der Sohn des Menschen geht zwar dahin, wie es beschlossen ist; wehe aber jenem Menschen, durch welchen er überliefert wird! 
LUK.22.23	Und sie fingen an, sich untereinander zu befragen, wer es wohl von ihnen sein möchte, der dies tun werde. 
LUK.22.24	Es entstand aber auch ein Streit unter ihnen, wer von ihnen für den Größten 
LUK.22.25	Er aber sprach zu ihnen: Die Könige der Nationen herrschen über dieselben, und die Gewalt über sie üben, werden Wohltäter genannt. 
LUK.22.26	Ihr aber nicht also; sondern der Größte unter euch sei wie der Jüngste, 
LUK.22.27	Denn wer ist größer, der zu Tische Liegende oder der Dienende? Nicht der zu Tische Liegende? Ich aber bin in eurer Mitte wie der Dienende. 
LUK.22.28	Ihr aber seid es, die mit mir ausgeharrt haben in meinen Versuchungen; 
LUK.22.29	und ich verordne euch, gleichwie mein Vater mir verordnet hat, ein Reich, 
LUK.22.30	auf daß ihr esset und trinket an meinem Tische in meinem Reiche und auf Thronen sitzet, richtend die zwölf Stämme Israels. 
LUK.22.31	Der Herr aber sprach: Simon, Simon! siehe, der Satan hat euer begehrt, euch zu sichten wie den Weizen. 
LUK.22.32	Ich aber habe für dich gebetet, auf daß dein Glaube nicht aufhöre; und du, bist du einst zurückgekehrt, so stärke deine Brüder. 
LUK.22.33	Er aber sprach zu ihm: Herr, mit dir bin ich bereit, auch ins Gefängnis und in den Tod zu gehen. 
LUK.22.34	Er aber sprach: Ich sage dir, Petrus, der Hahn wird heute nicht krähen, ehe du dreimal geleugnet hast, daß du mich kennest. 
LUK.22.35	Und er sprach zu ihnen: Als ich euch ohne Börse und Tasche und Sandalen sandte, mangelte euch wohl etwas? Sie aber sagten: Nichts. 
