GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
SIR.10.13	Therefore the Lord brought upon them extraordinary afflictions,
SIR.10.13	and destroyed them utterly.
SIR.10.14	The Lord has cast down the thrones of rulers,
SIR.10.14	and has seated the lowly in their place.
SIR.10.15	The Lord has plucked up the roots of the nations,
SIR.10.15	and has planted the humble in their place.
SIR.10.16	The Lord has overthrown the lands of the nations,
SIR.10.16	and has destroyed them to the foundations of the earth.
SIR.10.17	He has removed some of them and destroyed them,
SIR.10.17	and has extinguished the memory of them from the earth.
SIR.10.18	Pride was not created for men,
SIR.10.18	nor fierce anger for those born of women.
SIR.10.19	What race is worthy of honor? The human race.
SIR.10.19	What race is worthy of honor? Those who fear the Lord.
SIR.10.19	What race is unworthy of honor? The human race.
SIR.10.19	What race is unworthy of honor? Those who transgress the commandments.
SIR.10.20	Among brothers their leader is worthy of honor,
SIR.10.20	and those who fear the Lord are worthy of honor in his eyes.
SIR.10.22	The rich, and the eminent, and the poor—
SIR.10.22	their glory is the fear of the Lord.
SIR.10.23	It is not right to despise an intelligent poor man,
SIR.10.23	nor is it proper to honor a sinful man.
SIR.10.24	The nobleman, and the judge, and the ruler will be honored,
SIR.10.24	but none of them is greater than the man who fears the Lord.
SIR.10.25	Free men will be at the service of a wise servant,
SIR.10.25	and a man of understanding will not grumble.
SIR.10.26	Do not make a display of your wisdom when you do your work,
SIR.10.26	nor glorify yourself at a time when you are in want.
SIR.10.27	Better is a man who works and has an abundance of everything,
SIR.10.27	than one who goes about boasting, but lacks bread.
SIR.10.28	My son, glorify yourself with humility,
SIR.10.28	and ascribe to yourself honor according to your worth.
SIR.10.29	Who will justify the man that sins against himself?
SIR.10.29	And who will honor the man that dishonors his own life?
SIR.10.30	A poor man is honored for his knowledge,
SIR.10.30	while a rich man is honored for his wealth.
SIR.10.31	A man honored in poverty, how much more in wealth!
SIR.10.31	And a man dishonored in wealth, how much more in poverty!
SIR.11.1	The wisdom of a humble man will lift up his head,
SIR.11.1	and will seat him among the great.
SIR.11.2	Do not praise a man for his good looks,
SIR.11.2	nor loathe a man because of his appearance.
SIR.11.3	The bee is small among flying creatures,
SIR.11.3	but her product is the best of sweet things.
SIR.11.4	Do not boast about wearing fine clothes,
SIR.11.4	nor exalt yourself in the day that you are honored;
SIR.11.4	for the works of the Lord are wonderful,
SIR.11.4	and his works are concealed from men.
SIR.11.5	Many kings have had to sit on the ground,
SIR.11.5	but one who was never thought of has worn a crown.
SIR.11.6	Many rulers have been greatly disgraced,
SIR.11.6	and illustrious men have been handed over to others.
SIR.11.7	Do not find fault before you investigate;
SIR.11.7	first consider, and then reprove.
SIR.11.8	Do not answer before you have heard,
SIR.11.8	nor interrupt a speaker in the midst of his words.
SIR.11.9	Do not argue about a matter which does not concern you,
SIR.11.9	nor sit with sinners when they judge a case.
SIR.11.10	My son, do not busy yourself with many matters;
SIR.11.10	if you multiply activities you will not go unpunished,
SIR.11.10	and if you pursue you will not overtake,
SIR.11.10	and by fleeing you will not escape.
SIR.11.11	There is a man who works, and toils, and presses on,
SIR.11.11	but is so much the more in want.
SIR.11.12	There is another who is slow and needs help,
SIR.11.12	who lacks strength and abounds in poverty;
SIR.11.12	but the eyes of the Lord look upon him for his good;
SIR.11.12	he lifts him out of his low estate
SIR.11.13	and raises up his head,
SIR.11.13	so that many are amazed at him.
SIR.11.14	Good things and bad, life and death,
SIR.11.14	poverty and wealth, come from the Lord.
SIR.11.17	The gift of the Lord endures for those who are godly,
SIR.11.17	and what he approves will have lasting success.
SIR.11.18	There is a man who is rich through his diligence and self-denial,
SIR.11.18	and this is the reward allotted to him:
SIR.11.19	when he says, “I have found rest,
SIR.11.19	and now I shall enjoy my goods!”
SIR.11.19	he does not know how much time will pass
SIR.11.19	until he leaves them to others and dies.
SIR.11.20	Stand by your covenant and attend to it,
SIR.11.20	and grow old in your work.
SIR.11.21	Do not wonder at the works of a sinner,
SIR.11.21	but trust in the Lord and keep at your toil;
SIR.11.21	for it is easy in the sight of the Lord
SIR.11.21	to enrich a poor man quickly and suddenly.
SIR.11.22	The blessing of the Lord is the reward of the godly,
SIR.11.22	and quickly God causes his blessing to flourish.
SIR.11.23	Do not say, “What do I need,
SIR.11.23	and what prosperity could be mine in the future?”
SIR.11.24	Do not say, “I have enough,
SIR.11.24	and what calamity could happen to me in the future?”
SIR.11.25	In the day of prosperity, adversity is forgotten,
SIR.11.25	and in the day of adversity, prosperity is not remembered.
SIR.11.26	For it is easy in the sight of the Lord
SIR.11.26	to reward a man on the day of death according to his conduct.
SIR.11.27	The misery of an hour makes one forget luxury,
SIR.11.27	and at the close of a man's life his deeds will be revealed.
SIR.11.28	Call no one happy before his death;
SIR.11.28	a man will be known through his children.
SIR.11.29	Do not bring every man into your home,
SIR.11.29	for many are the wiles of the crafty.
SIR.11.30	Like a decoy partridge in a cage, so is the mind of a proud man,
SIR.11.30	and like a spy he observes your weakness;
SIR.11.31	for he lies in wait, turning good into evil,
SIR.11.31	and to worthy actions he will attach blame.
SIR.11.32	From a spark of fire come many burning coals,
SIR.11.32	and a sinner lies in wait to shed blood.
SIR.11.33	Beware of a scoundrel, for he devises evil,
SIR.11.33	lest he give you a lasting blemish.
SIR.11.34	Receive a stranger into your home and he will upset you with commotion,
SIR.11.34	and will estrange you from your family.
SIR.12.1	If you do a kindness, know to whom you do it,
SIR.12.1	and you will be thanked for your good deeds.
SIR.12.2	Do good to a godly man, and you will be repaid—
SIR.12.2	if not by him, certainly by the Most High.
SIR.12.3	No good will come to the man who persists in evil
SIR.12.3	or to him who does not give alms.
SIR.12.4	Give to the godly man, but do not help the sinner.
SIR.12.5	Do good to the humble, but do not give to the ungodly;
SIR.12.5	hold back his bread, and do not give it to him,
SIR.12.5	lest by means of it he subdue you;
SIR.12.5	for you will receive twice as much evil
SIR.12.5	for all the good which you do to him.
SIR.12.6	For the Most High also hates sinners
SIR.12.6	and will inflict punishment on the ungodly.
SIR.12.7	Give to the good man, but do not help the sinner.
SIR.12.8	A friend will not be known in prosperity,
SIR.12.8	nor will an enemy be hidden in adversity.
SIR.12.9	A man's enemies are grieved when he prospers,
SIR.12.9	and in his adversity even his friend will separate from him.
SIR.12.10	Never trust your enemy,
SIR.12.10	for like the rusting of copper, so is his wickedness.
SIR.12.11	Even if he humbles himself and goes about cringing,
SIR.12.11	watch yourself, and be on your guard against him;
SIR.12.11	and you will be to him like one who has polished a mirror,
SIR.12.11	and you will know that it was not hopelessly tarnished.
SIR.12.12	Do not put him next to you,
SIR.12.12	lest he overthrow you and take your place;
SIR.12.12	do not have him sit at your right,
SIR.12.12	lest he try to take your seat of honor,
SIR.12.12	and at last you will realize the truth of my words,
SIR.12.12	and be stung by what I have said.
SIR.12.13	Who will pity a snake charmer bitten by a serpent,
SIR.12.13	or any who go near wild beasts?
SIR.12.14	So no one will pity a man who associates with a sinner
SIR.12.14	and becomes involved in his sins.
SIR.12.15	He will stay with you for a time,
SIR.12.15	but if you falter, he will not stand by you.
SIR.12.16	An enemy will speak sweetly with his lips,
SIR.12.16	but in his mind he will plan to throw you into a pit;
SIR.12.16	an enemy will weep with his eyes,
SIR.12.16	but if he finds an opportunity his thirst for blood will be insatiable.
SIR.12.17	If calamity befalls you, you will find him there ahead of you;
SIR.12.17	and while pretending to help you, he will trip you by the heel;
SIR.12.18	he will shake his head, and clap his hands,
SIR.12.18	and whisper much, and change his expression.
SIR.13.1	Whoever touches pitch will be defiled,
SIR.13.1	and whoever associates with a proud man will become like him.
SIR.13.2	Do not lift a weight beyond your strength,
SIR.13.2	nor associate with a man mightier and richer than you.
SIR.13.2	How can the clay pot associate with the iron kettle?
SIR.13.2	The pot will strike against it, and will itself be broken.
SIR.13.3	A rich man does wrong, and he even adds reproaches;
SIR.13.3	a poor man suffers wrong, and he must add apologies.
SIR.13.4	A rich man will exploit you if you can be of use to him,
SIR.13.4	but if you are in need he will forsake you.
SIR.13.5	If you own something, he will live with you;
SIR.13.5	he will drain your resources and he will not care.
SIR.13.6	When he needs you he will deceive you,
SIR.13.6	he will smile at you and give you hope.
SIR.13.6	He will speak to you kindly and say, “What do you need?”
SIR.13.7	He will shame you with his foods,
SIR.13.7	until he has drained you two or three times;
SIR.13.7	and finally he will deride you.
SIR.13.7	Should he see you afterwards, he will forsake you,
SIR.13.7	and shake his head at you.
SIR.13.8	Take care not to be led astray,
SIR.13.8	and not to be humiliated in your feasting.
SIR.13.9	When a powerful man invites you, be reserved;
SIR.13.9	and he will invite you the more often.
SIR.13.10	Do not push forward, lest you be repulsed;
SIR.13.10	and do not remain at a distance, lest you be forgotten.
SIR.13.11	Do not try to treat him as an equal,
SIR.13.11	nor trust his abundance of words;
SIR.13.11	for he will test you through much talk,
SIR.13.11	and while he smiles he will be examining you.
SIR.13.12	Cruel is he who does not keep words to himself;
SIR.13.12	he will not hesitate to injure or to imprison.
SIR.13.13	Keep words to yourself and be very watchful,
SIR.13.13	for you are walking about with your own downfall.
SIR.13.15	Every creature loves its like,
SIR.13.15	and every person his neighbor;
SIR.13.16	all living beings associate by species,
SIR.13.16	and a man clings to one like himself.
SIR.13.17	What fellowship has a wolf with a lamb?
SIR.13.17	No more has a sinner with a godly man.
SIR.13.18	What peace is there between a hyena and a dog?
SIR.13.18	And what peace between a rich man and a poor man?
SIR.13.19	Wild asses in the wilderness are the prey of lions;
SIR.13.19	likewise the poor are pastures for the rich.
SIR.13.20	Humility is an abomination to a proud man;
SIR.13.20	likewise a poor man is an abomination to a rich one.
SIR.13.21	When a rich man totters, he is steadied by friends,
SIR.13.21	but when a humble man falls, he is even pushed away by friends.
SIR.13.22	If a rich man slips, his helpers are many;
SIR.13.22	he speaks unseemly words, and they justify him.
SIR.13.22	If a humble man slips, they even reproach him;
SIR.13.22	he speaks sensibly, and receives no attention.
SIR.13.23	When the rich man speaks all are silent,
SIR.13.23	and they extol to the clouds what he says.
SIR.13.23	When the poor man speaks they say, “Who is this fellow?”
SIR.13.23	And should he stumble, they even push him down.
SIR.13.24	Riches are good if they are free from sin,
SIR.13.24	and poverty is evil in the opinion of the ungodly.
SIR.13.25	A man's heart changes his countenance,
SIR.13.25	either for good or for evil.
SIR.13.26	The mark of a happy heart is a cheerful face,
SIR.13.26	but to devise proverbs requires painful thinking.
SIR.14.1	Blessed is the man who does not blunder with his lips
SIR.14.1	and need not suffer grief for sin.
SIR.14.2	Blessed is he whose heart does not condemn him,
SIR.14.2	and who has not given up his hope.
SIR.14.3	Riches are not seemly for a stingy man;
SIR.14.3	and of what use is property to an envious man?
SIR.14.4	Whoever accumulates by depriving himself, accumulates for others;
SIR.14.4	and others will live in luxury on his goods.
SIR.14.5	If a man is mean to himself, to whom will he be generous?
SIR.14.5	He will not enjoy his own riches.
SIR.14.6	No one is meaner than the man who is grudging to himself,
SIR.14.6	and this is the retribution for his baseness;
SIR.14.7	even if he does good, he does it unintentionally,
SIR.14.7	and betrays his baseness in the end.
SIR.14.8	Evil is the man with a grudging eye;
SIR.14.8	he averts his face and disregards people.
SIR.14.9	A greedy man's eye is not satisfied with a portion,
SIR.14.9	and mean injustice withers the soul.
SIR.14.10	A stingy man's eye begrudges bread,
SIR.14.10	and it is lacking at his table.
SIR.14.11	My son, treat yourself well, according to your means,
SIR.14.11	and present worthy offerings to the Lord.
