MAT.1.1	This book is the record of Jesus the Messiah,
PSA.104_1.15	and wine to make them happy, olive oil to make their faces shine, and bread to make them strong.
PSA.104_1.16	The Lord's trees are well-watered, the cedars of Lebanon that he planted.
PSA.104_1.17	Sparrows make their nests there; herons make their homes in the tall trees.
PSA.104_1.18	Wild goats live high in the mountains; hyraxes hide among the rocks.
PSA.104_1.19	You made the moon to mark the months, and the sun knows when to set.
PSA.104_1.20	You make darkness fall and the night comes, the time when the forest animals come out to hunt.
PSA.104_1.21	The young lions roar as they seek their prey, looking for the food that God provides for them.
PSA.104_1.22	When the sun rises they return to their dens to rest.
PSA.104_1.23	Then people leave for work, working until the evening.
PSA.104_1.24	Lord, how many different things you have made—all of them wisely created! The earth is full of your creatures.
PSA.104_1.25	Consider the sea, deep and wide, full of all kinds of living things, large and small.
PSA.104_1.26	Ships sail there, and Leviathan,
PSA.104_1.27	All creatures look to you to give them food at the right time.
PSA.104_1.28	When you provide it, they gather it up. You hand out food to them, and they are well-fed.
PSA.104_1.29	When you turn away from them, they're terrified; when you take away their breath, they die and return to dust.
PSA.104_1.30	When you send your breath, they are created, and life covers the earth again.
PSA.104_1.31	May the Lord's glory last forever! The Lord is happy with all he has made.
PSA.104_1.32	He only has to look at the earth and it trembles; mountains pour out smoke at his touch.
PSA.104_1.33	I will sing to the Lord for as long as I live; I will sing praises to my God my whole life.
PSA.104_1.34	May he be pleased with my thoughts
PSA.104_1.35	Let sinners be destroyed from the earth; let the wicked cease to exist. Let every part of me praise the Lord!
PSA.105_1.1	Give the Lord thanks, worship his wonderful nature, let people know what he's done!
PSA.105_1.2	Sing to him, sing his praises; tell everyone the great things he's done!
PSA.105_1.3	Be proud of his holy character; be happy, all who come to the Lord!
PSA.105_1.4	Look for the Lord, and his strength; always look to be in his presence.
PSA.105_1.5	Remember all the wonderful things he's done, the miracles he's performed, and the judgments
PSA.105_1.6	descendants of Abraham, children of Israel, his chosen people.
PSA.105_1.7	He is the Lord, our God, his judgments cover the whole earth.
PSA.105_1.8	He remembers his agreement forever, the promise he made lasts for a thousand generations;
PSA.105_1.9	the agreement he made with Abraham, the vow he gave to Isaac.
PSA.105_1.10	The Lord legally confirmed it with Jacob, he made this binding agreement with Israel:
PSA.105_1.11	saying to you, “I will give the land of Canaan for you to possess.”
PSA.105_1.12	He said this when they were only a few, just a small group of foreigners in the land.
PSA.105_1.13	They wandered from country to country, from one kingdom to the next.
PSA.105_1.14	He didn't let anyone one treat them badly; warning kings to leave them alone:
PSA.105_1.15	“Don't touch my chosen people; don't harm my prophets!”
PSA.105_1.16	He caused
PSA.105_1.17	Before that he sent a man, Joseph, who was sold as a slave.
PSA.105_1.18	They hurt his feet by placing them in shackles, and they put an iron collar around his neck,
PSA.105_1.19	until the time predicted came when the Lord tested him.
PSA.105_1.20	The king
PSA.105_1.21	He put Joseph in charge of the royal household, manager of everything he had,
PSA.105_1.22	to teach
PSA.105_1.23	Then Israel entered Egypt—Jacob settled as a foreigner in the land of Ham.
PSA.105_1.24	The Lord made his people more fertile and more powerful than their enemies.
PSA.105_1.25	He made the Egyptians
PSA.105_1.26	He sent his servant Moses, together with Aaron, whom he had chosen.
PSA.105_1.27	They
PSA.105_1.28	He plunged the country into darkness—for hadn't they defied what the Lord had said?
PSA.105_1.29	He turned their water into blood, killing all the fish.
PSA.105_1.30	Then he sent a plague of frogs across the land that even entered the bedrooms of their rulers.
PSA.105_1.31	He gave the command, and flies spread throughout their land; mosquitoes were everywhere.
PSA.105_1.32	He rained down hail on them, and lightning flashed across their land.
PSA.105_1.33	He struck down their grape vines, and ripped down their trees.
PSA.105_1.34	He gave the command, and swarms of locusts came—countless locusts:
PSA.105_1.35	they ate up all the vegetation in their land; they consumed all the growing crops.
PSA.105_1.36	He killed all the firstborn in Egypt, the first to be produced in their vigor and strength.
PSA.105_1.37	Then he led his people out of Egypt, carrying silver and gold—not one among the tribes was stumbling along.
PSA.105_1.38	The Egyptians were delighted to see them go, for they were frightened of the Israelites.
PSA.105_1.39	He spread a cloud above them as a covering, and at night a fire to give them light.
PSA.105_1.40	He gave them quails to eat when they asked him; he fed them with the bread of heaven until they were full.
PSA.105_1.41	He split the rock open, and water gushed out—a river flowing through the desert.
PSA.105_1.42	For he remembered his holy promise to his servant Abraham.
PSA.105_1.43	So he led his people out, his chosen ones, as they sang for joy.
PSA.105_1.44	He gave them the lands of the heathen nations, and they inherited what other people had worked for.
PSA.105_1.45	The Lord did this so they could follow his instructions and keep his laws. Praise the Lord!
PSA.106_1.1	Praise the Lord! Thank the Lord, for he is good! His trustworthy love lasts forever.
PSA.106_1.2	Who can give an account of all the wonderful things the Lord has done?
PSA.106_1.3	Happy are those who treat people fairly, who always do what is right.
PSA.106_1.4	Please remember me when you are generous to your people; think of me when you come to save.
PSA.106_1.5	Let me see your chosen people prosperous; let me be happy together with your nation; let me share in being proud of you with those who belong to you.
PSA.106_1.6	We have sinned just like our forefathers. We have done wrong. We are guilty.
PSA.106_1.7	They didn't pay attention to the wonderful things you did. They didn't keep in mind how much you loved them, but chose to rebel at the sea, the Red Sea.
PSA.106_1.8	Even so he saved them because of the kind of person he is, and to show his power
PSA.106_1.9	He gave his order
PSA.106_1.10	He rescued them from those who hated them; he saved them from their enemies' power.
PSA.106_1.11	The water drowned their enemies—none of them survived,
PSA.106_1.12	Then his people trusted in what he promised, and sang his praises.
PSA.106_1.13	But they quickly forgot what he had done for them, and they didn't listen to his advice.
PSA.106_1.14	They were filled with desperate cravings
PSA.106_1.15	He gave them what they wanted, but sent them a plague
PSA.106_1.16	In the camp the people became jealous of Moses, and of Aaron, the Lord's holy priest.
PSA.106_1.17	The earth split open and swallowed up Dathan; it buried Abiram and his followers.
PSA.106_1.18	Fire broke out among them—a flame that burned them up.
PSA.106_1.19	At Mount Sinai
PSA.106_1.20	They replaced their God of glory with a bull that eats grass!
PSA.106_1.21	They forgot God, their Savior, who had done marvelous things in Egypt;
PSA.106_1.22	performing miracles in the land of Ham,
PSA.106_1.23	So he said he was going to destroy them But Moses, his chosen leader, placed himself between the Lord and the people to persuade the Lord not to destroy them in his anger.
PSA.106_1.24	Later the people refused to enter the Promised Land; they didn't trust him to do as he'd promised.
PSA.106_1.25	They complained in their tents about the Lord, and refused to obey what he told them.
PSA.106_1.26	So he raised his hand to give them a serious warning that he would bring them down in the wilderness,
PSA.106_1.27	that he would disperse
PSA.106_1.28	They gave their allegiance to Baal Peor,
PSA.106_1.29	They provoked the Lord by what they did, making him angry, so a plague broke out among them.
PSA.106_1.30	But Phinehas took a stand for the Lord and intervened, and the plague was stopped in its tracks.
PSA.106_1.31	He has been considered as a man who lived right
PSA.106_1.32	They also angered him at the waters of Meribah where things went badly for Moses because of them.
PSA.106_1.33	They upset him so much that he spoke without thinking in the heat of the moment.
PSA.106_1.34	They did not destroy the heathen peoples as the Lord had told them to do,
PSA.106_1.35	but instead they joined in with them and adopted their way of life.
PSA.106_1.36	They worshiped their pagan idols which became a trap for them.
PSA.106_1.37	The even sacrificed their sons and daughters to these demons.
PSA.106_1.38	They shed the blood of innocent children, their sons and daughters, sacrificing them to the idols of Canaan. By doing so they defiled the land with blood.
PSA.106_1.39	The also defiled themselves by what they did: their actions were spiritual adultery.
PSA.106_1.40	So the Lord was angry with his people—he loathed those who belonged to him.
PSA.106_1.41	He handed them over to the heathen nations. These people who hated them now became their rulers.
PSA.106_1.42	Their enemies dominated and subdued them with their power.
PSA.106_1.43	The Lord repeatedly rescued them, but they continued with their rebellious ideas, until they were finally destroyed by their own sins.
PSA.106_1.44	Despite all this, the Lord was moved by their suffering; he heard their sad cries.
PSA.106_1.45	He remembered the agreement he had made with them, and he held back because of his great kindness and love.
PSA.106_1.46	He made the people who captured them treat them with mercy.
PSA.106_1.47	Save us, Lord, our God! Bring us back together from among the nations, so we can thank you and declare how magnificent and holy you are.
