GEN.1.1	No princípio, quando Deus criou o céu e a terra
GAL.5.22	O Espírito, pelo contrário, produz amor, alegria, paz, paciência, amabilidade, bondade, fidelidade, 
GAL.5.23	modéstia, autodomínio. E contra estas coisas não há lei. 
GAL.5.24	Os que pertencem a 
GAL.5.25	Ora se vivemos por meio do Espírito, devemos deixar-nos guiar por ele. 
GAL.5.26	Não sejamos orgulhosos, não nos irritemos uns aos outros, nem haja invejas entre nós.
GAL.6.1	Meus 
GAL.6.2	Ajudem-se uns aos outros a suportar as dificuldades, pois assim cumprem a lei de 
GAL.6.3	Se alguém julga ser alguma coisa, quando não é nada, engana-se a si mesmo. 
GAL.6.4	Cada um deve julgar as suas ações. E se tiver motivo de orgulho, que seja apenas consigo mesmo, sem se comparar com os outros. 
GAL.6.5	Pois cada um tem as suas próprias dificuldades para suportar.
GAL.6.6	Quem recebe instrução sobre a palavra de Deus deve compartilhar todos os seus bens com quem o ensina. 
GAL.6.7	Não se enganem: com Deus não se brinca. Cada um há de colher aquilo que semeou. 
GAL.6.8	Aquele que semeia o que agrada aos maus instintos terá uma colheita de perdição, mas quem semeia o que agrada ao Espírito terá uma colheita de vida eterna. 
GAL.6.9	Não nos cansemos de praticar o bem pois, se não desanimarmos, teremos a colheita no tempo devido. 
GAL.6.10	Portanto, enquanto é tempo, façamos o bem a todos, especialmente aos que pertencem à nossa família na fé.
GAL.6.11	Vejam com que grandes letras vos escrevo pela minha própria mão!
GAL.6.12	Aqueles que, para agradar às pessoas, vos querem obrigar a receber a 
GAL.6.13	Esses que praticam a circuncisão não seguem a 
GAL.6.14	Quanto a mim, não quero gabar-me a não ser na cruz de nosso Senhor Jesus Cristo. Com efeito, pela cruz de Cristo, o mundo está morto para mim e eu para o mundo. 
GAL.6.15	Estar circuncidado ou não, de nada vale. O que importa é ter uma vida nova.
GAL.6.16	Que a paz e a 
GAL.6.17	Daqui para o futuro, que ninguém me crie dificuldades, pois trago no meu corpo as marcas que mostram que sou de Jesus
GAL.6.18	Que a 
EPH.1.1	Da parte de Paulo, escolhido por Deus para ser 
EPH.1.2	Que Deus, nosso 
EPH.1.3	Bendito
EPH.1.4	Pois, antes de o mundo existir, ele escolheu-nos para juntamente com Cristo sermos santos e irrepreensíveis e vivermos diante dele em amor. 
EPH.1.5	Ele destinou-nos para sermos seus filhos por meio de Cristo, conforme era seu desejo e vontade, 
EPH.1.6	para louvor da sua graça gloriosa que ele gratuitamente nos concedeu no seu amado Filho. 
EPH.1.7	Pelo sacrifício da sua morte fomos libertados e recebemos o perdão dos 
EPH.1.8	que ele derramou abundantemente sobre nós com toda a sabedoria e entendimento. 
EPH.1.9	Deu-nos a conhecer o mistério da sua vontade e o plano generoso que tinha determinado realizar por meio de Cristo. 
EPH.1.10	Esse plano consiste em levar o Universo à sua realização total, reunindo todas as coisas em submissão a Cristo, tanto nos Céus como na Terra
EPH.1.11	Foi também em Cristo que fomos escolhidos para sermos herdeiros
EPH.1.12	Louvemos, portanto, a glória de Deus, nós que previamente
EPH.1.13	Foi em união com Cristo que também receberam a palavra da verdade, a 
EPH.1.14	O Espírito Santo é a garantia da herança que nos está prometida e que consiste na completa libertação dos que pertencem a Deus, para louvor da sua glória.
EPH.1.15	Ouvi falar da vossa fé no Senhor Jesus e do vosso amor para com todos os 
EPH.1.16	Por isso, não me canso de dar 
EPH.1.17	Peço a Deus, 
EPH.1.18	Que ele ilumine o vosso entendimento para poderem descobrir a grande esperança que o seu chamamento nos traz, a riqueza maravilhosa da herança que destinou aos seus escolhidos 
EPH.1.19	e o poder extraordinário que ele nos dá, a nós os crentes. Foi esse grande e extraordinário poder que ele manifestou no mais alto grau, 
EPH.1.20	ao ressuscitar Jesus Cristo da morte e ao dar-lhe o lugar de honra à sua direita, no céu
EPH.1.21	Colocou-o acima de todos os chefes, autoridades, poderes e domínios
EPH.1.22	Submeteu todas as coisas à autoridade de Cristo
EPH.1.23	A igreja é o corpo de Cristo e ele, que enche o Universo inteiro, está nela em toda a sua plenitude
EPH.2.1	Outrora estavam mortos, por causa dos vossos delitos e 
EPH.2.2	O espírito deste mundo levava-vos a viverem dessa maneira. Andavam sujeitos ao chefe das forças do mal, àquele que ainda agora atua nos que são desobedientes a Deus. 
EPH.2.3	Todos nós estávamos na mesma condição, dominados pelos nossos maus desejos. Obedecíamos a esses maus desejos e pensamentos, e estávamos naturalmente destinados, como os outros, a receber o castigo de Deus.
EPH.2.4	Mas Deus, que é rico em misericórdia, mostrou por nós um grande amor. 
EPH.2.5	Estando nós mortos, por causa dos nossos delitos, ele deu-nos a vida juntamente com 
EPH.2.6	Pois Deus ressuscitou-nos juntamente com Cristo Jesus e com ele nos fez tomar parte no seu 
EPH.2.7	Desta maneira, quis mostrar para sempre a todos os que hão de existir a imensa riqueza dos favores que nos concedeu por meio de Jesus Cristo.
EPH.2.8	Porque é pela graça que estão salvos, mediante a fé. E isto não é mérito vosso, é dom de Deus. 
EPH.2.9	Não vem das obras para que ninguém se glorie. 
EPH.2.10	Pois somos obra das suas mãos, criados em Cristo Jesus para vivermos na prática das boas obras, as quais de antemão Deus preparou para nós.
EPH.2.11	Lembrem-se, portanto, de que outrora eram considerados pelos judeus como 
EPH.2.12	Lembrem-se de que naquele tempo estavam longe de 
EPH.2.13	Mas, se antes estavam longe, agora, por meio da morte de Cristo, estão perto dele.
EPH.2.14	Cristo é de facto a nossa paz. De dois povos separados fez um só povo. Com o sacrifício da sua vida ele destruiu o muro que os separava e os tornava inimigos um do outro. 
EPH.2.15	Aboliu a 
EPH.2.16	a fim de os reconciliar com Deus num só corpo, por meio da sua cruz, destruindo por ela o ódio que os dividia. 
EPH.2.17	Cristo veio, portanto, anunciar a 
EPH.2.18	Graças a ele, podemos agora, tanto uns como outros, chegar ao 
EPH.2.19	Portanto, já não são estrangeiros nem hóspedes. Fazem parte do povo 
EPH.2.20	Formam um único edifício, que tem por alicerces os 
EPH.2.21	É em Cristo que todo o edifício
EPH.2.22	É igualmente em Cristo que fazem parte desse edifício, que é a casa onde Deus habita pelo seu Espírito.
EPH.3.1	É por isso que eu, Paulo, estou preso, por amor de 
EPH.3.2	Com certeza, já ouviram falar da missão que Deus, com a sua 
EPH.3.3	Ele deu-me a conhecer o seu plano misterioso
EPH.3.4	E se voltarem a ler o que então escrevi, podem dar-se conta daquilo que eu penso desse plano misterioso que se realiza em Cristo.
EPH.3.5	No passado, ninguém tinha conhecimento desse plano, mas agora foi revelado aos 
EPH.3.6	O plano consiste em que pelo 
EPH.3.7	É deste evangelho que eu sou porta-voz, por um privilégio especial que Deus, pelo seu poder e iniciativa, me concedeu. 
EPH.3.8	Eu sou o mais insignificante de todos os santos, mas foi-me concedida a graça de anunciar aos não-judeus a 
EPH.3.9	Devo dar a conhecer a todos o plano misterioso que Deus, criador de todas as coisas, tinha preparado desde o princípio, sem o manifestar. 
EPH.3.10	Mas agora até os poderes e as autoridades
EPH.3.11	Este é o plano que Deus traçou desde o princípio e que realizou por meio de Jesus Cristo, nosso Senhor. 
EPH.3.12	É pela fé em Cristo, e em união com ele, que nós sentimos a liberdade de nos apresentarmos diante de Deus, cheios de confiança. 
EPH.3.13	Por isso vos peço que não se preocupem com os sofrimentos que tenho de passar por vossa causa. Isso deve ser para vós motivo de honra.
EPH.3.14	Por este motivo, eu me ajoelho em oração diante de Deus 
EPH.3.15	do qual toda a paternidade, tanto no Céu como na Terra, recebe o nome. 
EPH.3.16	Que ele vos conceda, com a riqueza da sua glória, a força de se manterem interiormente firmes e seguros, pelo Espírito. 
EPH.3.17	Também peço a Deus que 
EPH.3.18	para poderem compreender, com todos os crentes, a grandeza, a largueza, a imensidão e a profundidade do amor de Cristo. 
EPH.3.19	Que sejam capazes de conhecer o amor de Cristo, ainda que ele ultrapasse qualquer possibilidade de conhecimento, para que Deus vos encha com toda a sua plenitude
EPH.3.20	Dêmos louvores a Deus, o qual, pela força que nos concede, tem poder para realizar muito mais do que aquilo que nós pedimos ou somos capazes de imaginar. 
EPH.3.21	Dêmos-lhe glória por meio da 
EPH.4.1	Peço-vos, portanto, eu que estou preso por causa do amor do Senhor, que vivam de maneira digna da chamada que receberam. 
EPH.4.2	Sejam modestos, humildes e pacientes manifestando assim que se amam uns aos outros. 
EPH.4.3	Esforcem-se por conservar a unidade que vem do Espírito, vivendo em paz uns com os outros. 
EPH.4.4	Há um só corpo e um só Espírito, do mesmo modo que a esperança para a qual foram chamados é uma só. 
EPH.4.5	Existe um único Senhor, uma só fé e um só batismo. 
EPH.4.6	Há um só Deus, 
EPH.4.7	A cada um de nós foi dada a 
EPH.4.8	Por isso diz a Sagrada 
EPH.4.9	Ora o que quer dizer subiu, senão que antes tinha descido ao mais profundo da Terra? 
EPH.4.10	Esse mesmo que desceu é o que subiu também ao mais alto dos Céus, para encher o Universo com a sua presença.
EPH.4.11	Foi ele que constituiu uns como 
EPH.4.12	com o fim de preparar os 
EPH.4.13	até que todos cheguemos à unidade da fé e ao pleno conhecimento do Filho de Deus, ao homem adulto, à medida completa da estatura de Cristo
EPH.4.14	Assim já não nos comportaremos como crianças que andam ao sabor do vento e das ondas. Não nos deixaremos enganar por artimanhas inventadas pela esperteza daqueles que se armam em mestres. 
EPH.4.15	Mas proclamando a verdade com amor, cresceremos em todos os sentidos para Cristo, que é a cabeça. 
EPH.4.16	É nele que todo o corpo se mantém firmemente unido pelas articulações que o sustentam e de cada uma delas recebe força para ir crescendo em harmonia.
EPH.4.17	Digo-vos, portanto, em nome do Senhor: não se comportem como os 
EPH.4.18	O seu entendimento está completamente às escuras e, por causa da ignorância que os domina e do endurecimento do seu 
EPH.4.19	Perderam completamente o sentido da dignidade, entregando-se à libertinagem e à prática desenfreada de toda a imoralidade.
EPH.4.20	Mas a vossa aprendizagem sobre 
EPH.4.21	Com certeza que ouviram falar dele e foram instruídos acerca da verdade da mensagem de Jesus. 
EPH.4.22	Isto é, devem abandonar os velhos costumes e maneiras antigas de viver, corrompidos por desejos enganadores, 
EPH.4.23	e devem renovar a vossa mentalidade, seguindo os critérios do Espírito. 
EPH.4.24	Vivam, portanto, uma vida nova, uma vida digna da nova Humanidade criada à imagem de Deus
EPH.4.25	Por isso, deixem-se de mentiras! 
EPH.4.26	. Não devem deixar que o Sol se ponha sem terem dominado a vossa irritação. 
EPH.4.27	Não se deixem apanhar pelo 
EPH.4.28	Aquele que roubava, deixe de roubar! Antes, trabalhe honestamente com as suas próprias mãos, para ter com que socorrer até mesmo aqueles que não têm o suficiente. 
EPH.4.29	Que nenhuma palavra imprópria saia da vossa boca. Pelo contrário, que as vossas palavras sejam úteis e edificantes, para fazerem bem àqueles que vos ouvem. 
EPH.4.30	Não entristeçam o 
EPH.4.31	Qualquer espécie de ressentimento, ira, irritação, indignação ou injúria deve desaparecer do vosso meio, bem como toda a espécie de maldade. 
EPH.4.32	Sejam delicados e prestáveis e perdoem-se uns aos outros, como Deus vos perdoou em 
EPH.5.1	Sigam, portanto, o exemplo de Deus, uma vez que são seus filhos queridos
EPH.5.2	Vivam no amor de Deus, à semelhança de 
EPH.5.3	Como crentes em Deus, não consintam que a devassidão ou qualquer espécie de imoralidade ou ganância sejam sequer nomeadas no vosso meio. 
EPH.5.4	Também não fica bem dizerem palavras inconvenientes, insensatas ou grosseiras. Palavras de agradecimento a Deus é que devem dizer. 
EPH.5.5	Lembrem-se disto: os que se entregam à devassidão e à imoralidade, ou se deixam dominar pela ganância, que é uma espécie de idolatria, não têm parte na herança do 
EPH.5.6	Não se deixem enganar por ninguém com palavras ocas. É por isso que Deus vai castigar aqueles que não lhe obedecem. 
EPH.5.7	Não queiram nada com eles. 
EPH.5.8	Lembrem-se que dantes eram escuridão, mas agora são luz em união com o Senhor
EPH.5.9	Pois os que vivem à luz do dia
EPH.5.10	Procurem sempre aquilo que mais agrada ao Senhor. 
EPH.5.11	E não queiram nada com as obras más que se fazem a coberto da escuridão
EPH.5.12	Pois o que essa gente faz às escondidas é de tal ordem que até dá vergonha falar nisso. 
EPH.5.13	Mas as coisas que são denunciadas pela luz aparecem às claras. 
EPH.5.14	Pois tudo aquilo que aparece às claras fica iluminado. Por isso é que se diz:
EPH.5.14	«Levanta-te, tu que dormes,
EPH.5.14	ressuscita, tu que estás morto,
EPH.5.14	e 
EPH.5.15	Prestem, portanto, muita atenção à maneira como se comportam. Não se comportem como insensatos, mas como sábios. 
EPH.5.16	Aproveitem bem o tempo, porque os dias que correm são maus. 
EPH.5.17	Por isso, não façam as coisas de qualquer maneira, mas procurem compreender bem qual é a vontade do Senhor. 
EPH.5.18	Não se embebedem, pois o vinho leva à libertinagem, mas deixem-se encher do 
EPH.5.19	Recitem uns com os outros salmos, hinos e cânticos que inspirem devoção. Cantem e louvem ao Senhor com o vosso 
EPH.5.20	Deem graças a Deus, nosso 
EPH.5.21	Sejam submissos uns para com os outros, pelo respeito que têm por 
EPH.5.22	As mulheres obedeçam aos seus maridos como ao Senhor. 
EPH.5.23	Pois assim como Cristo é cabeça para a 
EPH.5.24	Ora, assim como a igreja obedece a Cristo, também as mulheres devem obedecer em tudo aos seus maridos. 
EPH.5.25	Os maridos devem amar as suas mulheres como também Cristo amou a igreja e deu a sua vida por ela. 
EPH.5.26	Fez isto para a santificar e 
EPH.5.27	Quis assim preparar a igreja para ser a sua esposa cheia de beleza, sem mancha nem defeito ou coisa semelhante, mas santa e sem 
EPH.5.28	É desse modo que o marido deve amar a sua mulher, como se ela fosse o seu próprio corpo. Quem ama a sua mulher ama-se a si mesmo. 
EPH.5.29	Ora, ninguém despreza o seu próprio corpo. Muito pelo contrário, alimenta-o e rodeia-o de todos os cuidados, assim como Cristo faz com a igreja. 
EPH.5.30	E todos nós fazemos parte do seu corpo.
EPH.5.31	Como diz a Sagrada 
EPH.5.32	Há aqui um grande mistério. É que isto realiza-se plenamente no amor que Cristo tem pela igreja. 
EPH.5.33	Mas deve realizar-se também em vós. Por isso o marido ame a sua mulher como a si mesmo, e a mulher respeite o seu marido.
EPH.6.1	Filhos, em nome da vossa fé no Senhor
EPH.6.2	O primeiro dos mandamentos acompanhado de uma promessa é: 
EPH.6.3	E a promessa é esta: 
EPH.6.4	Pais, não irritem os vossos filhos. Mas eduquem-nos com disciplina e equilíbrio, em nome do Senhor.
