GEN.1.1	No 
LUK.4.33	E estava na sinagoga um homem que tinha um espírito de um demônio imundo, e este exclamou em alta voz, 
LUK.4.34	dizendo: Ah! Que temos nós contigo, Jesus Nazareno? Vieste a destruir-nos? 
LUK.4.35	E Jesus o repreendeu, dizendo: 
LUK.4.36	E veio espanto sobre todos, e falavam uns e outros, dizendo: Que palavra 
LUK.4.37	E a sua fama divulgava-se por todos os lugares, em redor daquela comarca.
LUK.4.38	Ora, 
LUK.4.39	E, inclinando-se para ela, repreendeu a febre, e 
LUK.4.40	E, ao pôr do sol, 
LUK.4.41	E também de muitos saíam demônios, clamando 
LUK.4.42	E, sendo já dia, 
LUK.4.43	Ele, porém, lhes disse: 
LUK.4.44	E pregava 
LUK.5.1	E aconteceu 
LUK.5.2	E viu estar dois barcos junto 
LUK.5.3	E, entrando num dos barcos, que era o de Simão, pediu-lhe que o afastasse um pouco da terra; e, assentando-se, ensinava do barco a multidão. 
LUK.5.4	E, quando acabou de falar, disse a Simão: 
LUK.5.5	E, respondendo Simão, disse-lhe: Mestre, havendo trabalhado toda a noite, nada apanhamos; mas, porque mandas, lançarei a rede. 
LUK.5.6	E, fazendo assim, colheram uma grande quantidade de peixes, e rompia-se-lhes a rede. 
LUK.5.7	E fizeram sinal aos companheiros que estavam no outro barco, para que os fossem ajudar. E foram e encheram ambos os barcos, de maneira tal que quase iam a pique. 
LUK.5.8	E, vendo isso Simão Pedro, prostrou-se aos pés de Jesus, dizendo: Senhor, 
LUK.5.9	Pois que o espanto se apoderara dele e de todos os que com ele estavam, por causa da pesca que haviam feito, 
LUK.5.10	e, de igual modo, também de Tiago e João, filhos de Zebedeu, que eram companheiros de Simão. E disse Jesus a Simão: 
LUK.5.11	E, levando os barcos para terra, 
LUK.5.12	E aconteceu que, quando estava em uma daquelas cidades, eis que 
LUK.5.13	E ele, estendendo a mão, tocou-lhe, dizendo: 
LUK.5.14	E ordenou-lhe que a ninguém 
LUK.5.15	Porém a sua fama se propagava ainda mais, 
LUK.5.16	Porém ele retirava-se 
LUK.5.17	E aconteceu que, em um daqueles dias, estava ensinando, e estavam 
LUK.5.18	E eis que 
LUK.5.19	E, não achando por onde o pudessem levar, por causa da multidão, subiram ao telhado e, por entre as telhas, o baixaram com a cama até ao meio, diante de Jesus. 
LUK.5.20	E, vendo-lhes a fé, Jesus disse ao paralítico: 
LUK.5.21	E 
LUK.5.22	Jesus, porém, conhecendo os seus pensamentos, respondeu e disse-lhes: 
LUK.5.24	 (disse ao paralítico), 
LUK.5.25	E, levantando-se logo diante deles e tomando a cama em que estava deitado, foi para sua casa glorificando a Deus. 
LUK.5.26	E todos ficaram maravilhados, e glorificaram a Deus, e ficaram cheios de temor, dizendo: Hoje, vimos prodígios.
LUK.5.27	E, depois 
LUK.5.28	E ele, deixando tudo, levantou-se e o seguiu.
LUK.5.29	E fez-lhe Levi 
LUK.5.30	E os escribas deles e os fariseus murmuravam contra os seus discípulos, dizendo: Por que comeis e bebeis com publicanos e pecadores? 
LUK.5.31	E Jesus, respondendo, disse-lhes: 
LUK.5.33	Disseram-lhe, então, eles: Por que jejuam muitas vezes os discípulos de João 
LUK.5.34	E ele lhes disse: 
LUK.5.36	E disse-lhes também uma parábola: 
LUK.6.1	E 
LUK.6.2	E alguns dos fariseus lhes disseram: Por que fazeis 
LUK.6.3	E Jesus, respondendo-lhes, disse: 
LUK.6.5	E dizia-lhes: 
LUK.6.6	E aconteceu 
LUK.6.7	E os escribas e fariseus atentavam nele, se 
LUK.6.8	Mas ele, conhecendo bem os seus pensamentos, disse ao homem que tinha a mão mirrada: 
LUK.6.9	Então, Jesus lhes disse: 
LUK.6.10	E, olhando para todos ao redor, disse ao homem: 
LUK.6.11	E ficaram cheios de furor, e uns com os outros conferenciavam sobre o que fariam a Jesus.
LUK.6.12	E aconteceu que, 
LUK.6.13	E, quando 
LUK.6.14	Simão, ao qual também chamou 
LUK.6.15	Mateus e Tomé; Tiago, 
LUK.6.16	Judas, 
LUK.6.17	E, descendo com eles, parou num lugar plano, e também um grande número de seus 
LUK.6.18	os quais tinham vindo para o ouvir e serem curados das suas enfermidades, como também os atormentados dos espíritos imundos. E eram curados. 
LUK.6.19	E toda 
LUK.6.20	E, levantando ele os olhos para os seus discípulos, 
LUK.6.39	E disse-lhes uma parábola: 
LUK.7.1	E, depois de concluir todos esses discursos perante o povo, entrou em Cafarnaum. 
LUK.7.2	E o servo de um certo centurião, a quem este muito estimava, estava doente e moribundo. 
LUK.7.3	E, quando ouviu 
LUK.7.4	E, chegando eles junto de Jesus, rogaram-lhe muito, dizendo: É digno de que lhe concedas isso. 
LUK.7.5	Porque ama a nossa nação e ele mesmo nos edificou a sinagoga. 
LUK.7.6	E foi Jesus com eles; mas, quando já estava perto da casa, enviou-lhe o centurião uns amigos, dizendo-lhe: Senhor, não te incomodes, porque não sou digno de que entres debaixo do meu telhado; 
LUK.7.7	e, por isso, nem ainda me julguei digno de ir ter contigo; dize, porém, uma palavra, e o meu criado sarará. 
LUK.7.8	Porque também eu sou homem sujeito à autoridade, e tenho soldados sob o meu poder, e digo a este: vai; e ele vai; e a outro: vem; e ele vem; e ao meu servo: faze isto; e ele o faz. 
LUK.7.9	E, ouvindo isso, Jesus maravilhou-se dele e, voltando-se, disse à multidão que o seguia: 
LUK.7.10	E, voltando para casa os que foram enviados, acharam são o servo enfermo.
LUK.7.11	E aconteceu, pouco depois, ir ele à cidade chamada Naim, e com ele iam muitos dos seus discípulos e uma grande multidão. 
LUK.7.12	E, quando chegou perto da porta da cidade, eis que levavam um defunto, filho único de sua mãe, que 
LUK.7.13	E, vendo-a, o Senhor moveu-se de íntima compaixão por ela e disse-lhe: 
LUK.7.14	E, chegando-se, tocou o esquife (e os que 
LUK.7.15	E o defunto assentou-se e começou a falar. E entregou-o à sua mãe. 
LUK.7.16	E de todos se apoderou 
LUK.7.17	E correu dele esta fama por toda a Judeia e por toda a terra circunvizinha.
LUK.7.18	E os discípulos de João anunciaram-lhe todas essas 
LUK.7.19	E João, chamando dois dos seus discípulos, enviou-
LUK.7.20	E, quando aqueles homens chegaram junto dele, disseram: João Batista enviou-nos a perguntar-te: És tu aquele que havia de vir ou esperamos outro? 
LUK.7.21	E, na mesma hora, curou muitos de enfermidades, e males, e espíritos maus; e deu vista a muitos cegos. 
LUK.7.22	Respondendo, então, Jesus, 
LUK.7.24	E, tendo-se retirado 
LUK.7.29	E todo o povo que o ouviu e os publicanos, 
LUK.7.30	Mas os fariseus e os doutores da lei rejeitaram 
LUK.7.31	E disse o Senhor: 
LUK.7.36	E rogou-lhe 
LUK.7.37	E eis que uma mulher da cidade, uma pecadora, sabendo que ele estava à mesa em casa do fariseu, levou um vaso de alabastro com unguento. 
LUK.7.38	E, estando por detrás, aos seus pés, chorando, começou a regar-lhe os pés com lágrimas, e enxugava-lhos com os cabelos da sua cabeça e beijava-lhe os pés, e ungia-lhos com o unguento. 
LUK.7.39	Quando 
LUK.7.40	E, respondendo, Jesus disse-lhe: 
LUK.7.43	E Simão, respondendo, disse: Tenho para mim que é aquele a quem mais perdoou. E ele lhe disse: 
LUK.7.44	E, voltando-se para a mulher, disse a Simão: 
LUK.7.48	E disse a ela: 
LUK.7.49	E os que estavam 
LUK.7.50	E disse à mulher: 
LUK.8.1	E aconteceu, depois disso, que andava de cidade em cidade e de aldeia em aldeia, pregando e anunciando o evangelho do Reino de Deus; e os doze iam com ele, 
LUK.8.2	e também 
LUK.8.3	e Joana, mulher de Cuza, procurador de Herodes, e Suzana, e muitas outras que o serviam com suas fazendas.
LUK.8.4	E, 
LUK.8.8	 Dizendo ele estas coisas, clamava: 
LUK.8.9	E 
LUK.8.10	E ele disse: 
LUK.8.19	E foram ter 
LUK.8.20	E foi-lhe dito: Estão 
LUK.8.21	Mas, respondendo ele, disse-lhes: 
LUK.8.22	E aconteceu 
LUK.8.23	E, navegando eles, adormeceu; e sobreveio uma tempestade de vento no lago, e o barco enchia-se 
LUK.8.24	E, chegando-se a ele, o despertaram, dizendo: Mestre, Mestre, estamos perecendo. E ele, levantando-se, repreendeu o vento e a fúria da água; e cessaram, e fez-se bonança. 
LUK.8.25	E disse-lhes: 
LUK.8.26	E navegaram para 
LUK.8.27	E, quando desceu para terra, saiu-lhe ao encontro, 
LUK.8.28	E, quando viu a Jesus, prostrou-se diante dele, exclamando e dizendo com alta voz: Que tenho eu contigo Jesus, Filho do Deus Altíssimo? Peço-te que não me atormentes. 
LUK.8.29	Porque tinha ordenado ao espírito imundo que saísse daquele homem; pois já havia muito tempo que o arrebatava. E guardavam-no preso com grilhões e cadeias; mas, quebrando as prisões, era impelido pelo demônio para os desertos. 
LUK.8.30	E perguntou-lhe Jesus, dizendo: 
LUK.8.31	E rogavam-lhe que os não mandasse para o 
LUK.8.32	E andava pastando ali no monte uma manada de muitos porcos; e rogaram-lhe que lhes concedesse entrar neles; e concedeu-lho. 
LUK.8.33	E, tendo saído os demônios do homem, entraram nos porcos, e a manada precipitou-se de um despenhadeiro no lago e afogou-se. 
LUK.8.34	E aqueles que os guardavam, vendo o que acontecera, fugiram e foram anunciá-lo na cidade e nos campos.
LUK.8.35	E saíram a ver o que tinha acontecido e vieram ter com Jesus. Acharam, então, o homem de quem haviam saído os demônios, vestido e em seu juízo, assentado aos pés de Jesus; e temeram. 
LUK.8.36	E os que tinham visto contaram-lhes também como fora salvo aquele endemoninhado. 
LUK.8.37	E 
LUK.8.38	E aquele homem de quem haviam saído os demônios 
LUK.8.39	 E ele foi apregoando por toda a cidade quão grandes 
LUK.8.40	E aconteceu que, quando voltou Jesus, a multidão o recebeu, porque todos o estavam esperando. 
LUK.8.41	E eis que 
LUK.8.42	porque tinha uma filha única, quase de doze anos, que estava à morte.
LUK.8.42	E, indo ele, apertava-o a multidão. 
LUK.8.43	E 
LUK.8.44	chegando por detrás 
LUK.8.45	E disse Jesus: 
LUK.8.46	E disse Jesus: 
LUK.8.47	Então, vendo a mulher que não podia ocultar-se, aproximou-se tremendo e, prostrando-se ante ele, declarou-lhe diante de todo o povo a causa por que lhe havia tocado e como logo sarara. 
LUK.8.48	E ele lhe disse: 
LUK.8.49	Estando 
LUK.8.50	Jesus, porém, ouvindo-
LUK.8.51	E, entrando em casa, a ninguém deixou entrar, senão a Pedro, e a Tiago, e a João, e ao pai, e a mãe da menina. 
LUK.8.52	E todos choravam e a pranteavam; e ele disse: 
LUK.8.53	E riam-se dele, sabendo que estava morta. 
LUK.8.54	Mas ele, pegando-lhe na mão, clamou, dizendo: 
LUK.8.55	E o seu espírito voltou, e ela logo se levantou; e Jesus mandou que lhe dessem de comer. 
LUK.8.56	E seus pais ficaram maravilhados, 
LUK.9.1	E, convocando os seus doze discípulos, 
LUK.9.2	e enviou-os a pregar o Reino de 
LUK.9.3	E disse-lhes: 
LUK.9.6	E, saindo eles, 
LUK.9.7	E o tetrarca Herodes 
LUK.9.8	e outros, que Elias tinha aparecido, e outros, que um profeta dos antigos havia ressuscitado. 
LUK.9.9	E disse Herodes: A João mandei eu degolar; quem é, pois, este de quem ouço dizer tais 
LUK.9.10	E, regressando 
LUK.9.11	E, sabendo-
LUK.9.12	E 
LUK.9.13	Mas ele lhes disse: 
LUK.9.14	Porquanto estavam ali quase cinco mil homens. Disse, então, aos seus discípulos: 
LUK.9.15	E assim o fizeram, fazendo-
LUK.9.16	E, tomando os cinco pães e os dois peixes e olhando para o céu, abençoou-os, e partiu-os, e deu-os aos seus discípulos para os porem diante da multidão. 
LUK.9.17	E comeram todos e saciaram-se; e levantaram, do que lhes sobejou, doze cestos de pedaços.
LUK.9.18	E aconteceu que, 
LUK.9.19	E, respondendo eles, disseram: 
LUK.9.20	E disse-lhes: 
LUK.9.21	E, admoestando-os, 
LUK.9.22	dizendo: 
LUK.9.23	E dizia a todos: 
LUK.9.28	E aconteceu que, 
LUK.9.29	E, estando ele orando, transfigurou-se a aparência do seu rosto, e as suas vestes 
LUK.9.30	E eis que estavam falando com ele dois varões, que eram Moisés e Elias, 
LUK.9.31	os quais apareceram com glória e falavam da sua morte, a qual havia de cumprir-se em Jerusalém. 
LUK.9.32	E Pedro e os que estavam com ele estavam 
LUK.9.33	E aconteceu que, quando aqueles se apartaram dele, disse Pedro a Jesus: Mestre, bom é que nós estejamos aqui e façamos três tendas, uma para ti, uma para Moisés e uma para Elias, não sabendo o que dizia. 
LUK.9.34	E, dizendo ele isso, veio uma nuvem que os cobriu com a sua sombra; e, entrando eles na nuvem, temeram. 
LUK.9.35	E saiu da nuvem uma voz que dizia: 
LUK.9.36	E, tendo soado aquela voz, Jesus foi achado só; 
LUK.9.37	E aconteceu, no dia seguinte, que, descendo eles do monte, lhes saiu ao encontro 
LUK.9.38	E eis que um homem da multidão clamou, dizendo, 
LUK.9.39	Eis que um espírito o toma, e de repente clama, e o despedaça até espumar; e só o larga depois de o ter quebrantado. 
LUK.9.40	E roguei aos teus discípulos que o expulsassem, e não puderam. 
LUK.9.41	E Jesus, respondendo, disse: 
LUK.9.42	E, quando vinha chegando, o demônio o derribou e convulsionou; porém Jesus repreendeu o espírito imundo, e curou o menino, e o entregou a seu pai. 
LUK.9.43	E todos pasmavam da majestade de Deus.
LUK.9.43	E, maravilhando-se todos de todas as 
LUK.9.45	Mas 
LUK.9.46	E suscitou-se entre eles uma discussão 
LUK.9.47	Mas Jesus, vendo o pensamento do coração deles, tomou uma criança, pô-la junto a si 
LUK.9.48	e disse-lhes: 
LUK.9.49	E, respondendo João, 
LUK.9.50	E Jesus lhes disse: 
LUK.9.51	E aconteceu que, completando-se os dias para a sua 
LUK.9.52	E mandou mensageiros diante da sua face; e, indo eles, entraram numa aldeia de samaritanos, para lhe prepararem 
LUK.9.53	Mas não o receberam, 
LUK.9.54	E os discípulos Tiago e João, vendo 
LUK.9.55	Voltando-se, porém, repreendeu-os e disse: 
LUK.9.57	E aconteceu que, indo eles pelo caminho, lhe disse um: Senhor, seguir-te-ei para onde quer que fores. 
LUK.9.58	E disse-lhe Jesus: 
LUK.9.59	E disse a outro: 
LUK.9.60	Mas Jesus lhe observou: 
LUK.9.61	Disse também outro: 
LUK.9.62	E Jesus lhe disse: 
LUK.10.1	E, depois disso, designou o Senhor ainda outros setenta e mandou-os 
LUK.10.2	E dizia-lhes: 
LUK.10.17	E 
LUK.10.18	E disse-lhes: 
LUK.10.21	Naquela mesma hora, se alegrou Jesus no Espírito Santo 
LUK.10.23	E, voltando-se para os discípulos, disse-
LUK.10.25	E eis que se levantou um certo doutor da lei, tentando-o e dizendo: 
LUK.10.26	E ele lhe disse: 
LUK.10.27	E, respondendo ele, 
LUK.10.28	E disse-lhe: 
LUK.10.29	Ele, porém, 
LUK.10.30	E, respondendo Jesus, disse: 
LUK.10.37	E ele disse: O que usou de misericórdia para com ele. Disse, pois, Jesus: 
LUK.10.38	E aconteceu que, indo eles de caminho, entrou numa aldeia; e certa mulher, por nome 
LUK.10.39	E tinha esta uma irmã, chamada Maria, a qual, assentando-se também aos pés de Jesus, ouvia a sua palavra. 
LUK.10.40	Marta, porém, andava distraída em muitos serviços e, aproximando-se, disse: Senhor, não te importas que minha irmã me deixe servir só? Dize-lhe, pois, que me ajude. 
LUK.10.41	E, respondendo Jesus, disse-lhe: 
LUK.11.1	E aconteceu que, estando ele a orar num certo lugar, quando acabou, lhe disse um dos seus discípulos: Senhor, ensina-nos a orar, como também João ensinou aos seus discípulos. 
LUK.11.2	E ele lhes disse: 
LUK.11.5	Disse-lhes também: 
LUK.11.14	E estava ele expulsando um demônio, o qual era mudo. E aconteceu que, saindo o demônio, o mudo falou; e maravilhou-se a multidão. 
LUK.11.15	Mas alguns deles diziam: 
LUK.11.16	E outros, tentando-
LUK.11.17	Mas, conhecendo ele os seus pensamentos, 
LUK.11.27	E aconteceu que, dizendo ele essas 
LUK.11.28	Mas ele disse: 
LUK.11.29	E, ajuntando-se a multidão, começou a dizer: 
LUK.11.37	E, estando ele 
LUK.11.38	Mas o fariseu 
LUK.11.39	E o Senhor lhe disse: 
LUK.11.45	E, respondendo um dos doutores da lei, disse-lhe: Mestre, quando dizes isso também nos afrontas a nós. 
LUK.11.46	E ele lhe disse: 
LUK.11.53	E, dizendo-lhes ele isso, começaram os escribas e os fariseus a apertá-lo fortemente e a fazê-lo falar acerca de muitas 
LUK.11.54	armando-lhe ciladas, a fim 
LUK.12.1	Ajuntando-se, 
LUK.12.13	E disse-lhe um da multidão: Mestre, dize a meu irmão que reparta comigo a herança. 
LUK.12.14	Mas ele lhe disse: 
LUK.12.15	E disse-lhes: 
LUK.12.16	E propôs-lhes uma parábola, dizendo: 
LUK.12.22	E disse aos seus discípulos: 
LUK.12.41	E disse-lhe Pedro: Senhor, dizes essa parábola a nós ou também a todos? 
LUK.12.42	E disse o Senhor: 
LUK.12.54	E dizia também à multidão: 
LUK.13.1	E, naquele mesmo tempo, estavam presentes ali alguns que lhe falavam dos galileus cujo sangue Pilatos misturara com os seus sacrifícios. 
LUK.13.2	E, respondendo Jesus, disse-lhes: 
LUK.13.6	E dizia esta parábola: 
LUK.13.10	E ensinava no sábado, numa das sinagogas. 
LUK.13.11	E eis que estava ali uma mulher que tinha 
LUK.13.12	E, vendo-a Jesus, chamou-a a si, e disse-lhe: 
LUK.13.13	E impôs as mãos sobre ela, 
LUK.13.14	E, tomando a palavra o príncipe da sinagoga, indignado porque Jesus curava no sábado, disse à multidão: 
LUK.13.15	Respondeu-lhe, porém, o Senhor e disse: 
LUK.13.17	E, dizendo ele isso, todos os seus adversários ficaram envergonhados, e todo o povo se alegrava por todas as 
LUK.13.18	E dizia: 
LUK.13.20	E disse outra vez: 
LUK.13.22	E percorria as cidades 
LUK.13.23	E disse-lhe um: Senhor, são poucos os que se salvam? E ele lhe respondeu: 
LUK.13.31	Naquele mesmo dia, chegaram uns fariseus, dizendo-lhe: Sai e retira-te daqui, porque Herodes quer matar-te. 
LUK.13.32	E lhes respondeu: 
LUK.14.1	Aconteceu, num sábado, que, entrando ele em casa de um dos principais dos fariseus para comer pão, eles o estavam observando. 
LUK.14.2	E eis que estava ali diante dele 
LUK.14.3	E Jesus, tomando a palavra, falou aos doutores da lei e aos fariseus, dizendo: 
LUK.14.4	Eles, porém, calaram-se. E tomando-
LUK.14.5	E disse-lhes: 
LUK.14.6	E nada lhe podiam replicar sobre isso.
LUK.14.7	E disse aos convidados uma parábola, reparando como escolhiam os primeiros assentos, dizendo-lhes: 
LUK.14.12	E dizia também ao que o tinha convidado: 
LUK.14.15	E, ouvindo isso um dos que estavam com ele 
LUK.14.16	Porém ele lhe disse: 
LUK.14.25	Ora, ia com ele uma grande multidão; e, voltando-se, disse-lhe: 
LUK.15.1	E chegavam-se a 
LUK.15.2	E os fariseus e os escribas murmuravam, dizendo: Este recebe pecadores 
LUK.15.3	E ele lhes propôs esta parábola, dizendo: 
LUK.15.11	E disse: 
LUK.16.1	E dizia também aos seus discípulos: 
LUK.16.14	E os fariseus, 
LUK.16.15	E disse-lhes: 
LUK.17.1	E disse aos discípulos: 
LUK.17.5	Disseram, então, os apóstolos ao Senhor: Acrescenta-nos a fé. 
LUK.17.6	E disse o 
LUK.17.11	E aconteceu 
LUK.17.12	e, entrando numa certa aldeia, saíram-lhe ao encontro dez homens leprosos, 
LUK.17.13	E levantaram a voz, dizendo: Jesus, Mestre, tem misericórdia de nós! 
LUK.17.14	E ele, vendo-os, disse-lhes: 
LUK.17.15	E um deles, vendo que estava são, voltou glorificando a Deus em alta voz. 
LUK.17.16	E caiu aos seus pés, com o rosto em terra, dando-lhe graças; e este era samaritano. 
LUK.17.17	E, respondendo Jesus, disse: 
LUK.17.19	E disse-lhe: 
LUK.17.20	E, interrogado pelos fariseus sobre quando havia de vir o Reino de Deus, respondeu-lhes e disse: 
