GEN.1.1	No princípio, criou Deus os céus e a terra. 
ACT.3.6	Pedro, porém, lhe disse: Não possuo nem prata nem ouro, mas o que tenho, isso te dou: em nome de Jesus Cristo, o Nazareno, anda! 
ACT.3.7	E, tomando-o pela mão direita, o levantou; imediatamente, os seus pés e tornozelos se firmaram; 
ACT.3.8	de um salto se pôs em pé, passou a andar e entrou com eles no templo, saltando e louvando a Deus. 
ACT.3.9	Viu-o todo o povo a andar e a louvar a Deus, 
ACT.3.10	e reconheceram ser ele o mesmo que esmolava, assentado à Porta Formosa do templo; e se encheram de admiração e assombro por isso que lhe acontecera.
ACT.3.11	Apegando-se ele a Pedro e a João, todo o povo correu atônito para junto deles no pórtico chamado de Salomão. 
ACT.3.12	À vista disto, Pedro se dirigiu ao povo, dizendo: Israelitas, por que vos maravilhais disto ou por que fitais os olhos em nós como se pelo nosso próprio poder ou piedade o tivéssemos feito andar? 
ACT.3.13	O Deus de Abraão, de Isaque e de Jacó, o Deus de nossos pais, glorificou a seu Servo Jesus, a quem vós traístes e negastes perante Pilatos, quando este havia decidido soltá-lo. 
ACT.3.14	Vós, porém, negastes o Santo e o Justo e pedistes que vos concedessem um homicida.
ACT.3.15	Dessarte, matastes o Autor da vida, a quem Deus ressuscitou dentre os mortos, do que nós somos testemunhas. 
ACT.3.16	Pela fé em o nome de Jesus, é que esse mesmo nome fortaleceu a este homem que agora vedes e reconheceis; sim, a fé que vem por meio de Jesus deu a este saúde perfeita na presença de todos vós. 
ACT.3.17	E agora, irmãos, eu sei que o fizestes por ignorância, como também as vossas autoridades; 
ACT.3.18	mas Deus, assim, cumpriu o que dantes anunciara por boca de todos os profetas: que o seu Cristo havia de padecer. 
ACT.3.19	Arrependei-vos, pois, e convertei-vos para serem cancelados os vossos pecados, 
ACT.3.20	a fim de que, da presença do Senhor, venham tempos de refrigério, e que envie ele o Cristo, que já vos foi designado, Jesus, 
ACT.3.21	ao qual é necessário que o céu receba até aos tempos da restauração de todas as coisas, de que Deus falou por boca dos seus santos profetas desde a antiguidade. 
ACT.3.22	Disse, na verdade, Moisés:
ACT.3.22	O Senhor Deus vos suscitará dentre vossos irmãos um profeta semelhante a mim; a ele ouvireis em tudo quanto vos disser.
ACT.3.23	Acontecerá que toda alma que não ouvir
ACT.3.24	E todos os profetas, a começar com Samuel, assim como todos quantos depois falaram, também anunciaram estes dias. 
ACT.3.25	Vós sois os filhos dos profetas e da aliança que Deus estabeleceu com vossos pais, dizendo a Abraão:
ACT.3.25	Na tua descendência, serão abençoadas todas as nações da terra.
ACT.3.26	Tendo Deus ressuscitado o seu Servo, enviou-o primeiramente a vós outros para vos abençoar, no sentido de que cada um se aparte das suas perversidades.
ACT.4.1	Falavam eles ainda ao povo quando sobrevieram os sacerdotes, o capitão do templo e os saduceus, 
ACT.4.2	ressentidos por ensinarem eles o povo e anunciarem, em Jesus, a ressurreição dentre os mortos; 
ACT.4.3	e os prenderam, recolhendo-os ao cárcere até ao dia seguinte, pois já era tarde. 
ACT.4.4	Muitos, porém, dos que ouviram a palavra a aceitaram, subindo o número de homens a quase cinco mil.
ACT.4.5	No dia seguinte, reuniram-se em Jerusalém as autoridades, os anciãos e os escribas 
ACT.4.6	com o sumo sacerdote Anás, Caifás, João, Alexandre e todos os que eram da linhagem do sumo sacerdote; 
ACT.4.7	e, pondo-os perante eles, os arguiram: Com que poder ou em nome de quem fizestes isto? 
ACT.4.8	Então, Pedro, cheio do Espírito Santo, lhes disse: Autoridades do povo e anciãos, 
ACT.4.9	visto que hoje somos interrogados a propósito do benefício feito a um homem enfermo e do modo por que foi curado, 
ACT.4.10	tomai conhecimento, vós todos e todo o povo de Israel, de que, em nome de Jesus Cristo, o Nazareno, a quem vós crucificastes, e a quem Deus ressuscitou dentre os mortos, sim, em seu nome é que este está curado perante vós. 
ACT.4.11	Este Jesus é pedra
ACT.4.12	E não há salvação em nenhum outro; porque abaixo do céu não existe nenhum outro nome, dado entre os homens, pelo qual importa que sejamos salvos. 
ACT.4.13	Ao verem a intrepidez de Pedro e João, sabendo que eram homens iletrados e incultos, admiraram-se; e reconheceram que haviam eles estado com Jesus. 
ACT.4.14	Vendo com eles o homem que fora curado, nada tinham que dizer em contrário. 
ACT.4.15	E, mandando-os sair do Sinédrio, consultavam entre si, 
ACT.4.16	dizendo: Que faremos com estes homens? Pois, na verdade, é manifesto a todos os habitantes de Jerusalém que um sinal notório foi feito por eles, e não o podemos negar; 
ACT.4.17	mas, para que não haja maior divulgação entre o povo, ameacemo-los para não mais falarem neste nome a quem quer que seja. 
ACT.4.18	Chamando-os, ordenaram-lhes que absolutamente não falassem, nem ensinassem em o nome de Jesus. 
ACT.4.19	Mas Pedro e João lhes responderam: Julgai se é justo diante de Deus ouvir-vos antes a vós outros do que a Deus; 
ACT.4.20	pois nós não podemos deixar de falar das coisas que vimos e ouvimos. 
ACT.4.21	Depois, ameaçando-os mais ainda, os soltaram, não tendo achado como os castigar, por causa do povo, porque todos glorificavam a Deus pelo que acontecera. 
ACT.4.22	Ora, tinha mais de quarenta anos aquele em quem se operara essa cura milagrosa.
ACT.4.23	Uma vez soltos, procuraram os irmãos e lhes contaram quantas coisas lhes haviam dito os principais sacerdotes e os anciãos. 
ACT.4.24	Ouvindo isto, unânimes, levantaram a voz a Deus e disseram: Tu, Soberano Senhor, que fizeste o céu, a terra,
ACT.4.25	que disseste por intermédio do Espírito Santo, por boca de Davi, nosso pai, teu servo:
ACT.4.25	Por que se enfureceram os gentios, e os povos imaginaram coisas vãs?
ACT.4.26	Levantaram-se os reis da terra, e as autoridades ajuntaram-se à uma contra o Senhor e contra o seu Ungido;
ACT.4.27	porque verdadeiramente se ajuntaram nesta cidade contra o teu santo Servo Jesus, ao qual ungiste, Herodes
ACT.4.28	para fazerem tudo o que a tua mão e o teu propósito predeterminaram; 
ACT.4.29	agora, Senhor, olha para as suas ameaças e concede aos teus servos que anunciem com toda a intrepidez a tua palavra, 
ACT.4.30	enquanto estendes a mão para fazer curas, sinais e prodígios por intermédio do nome do teu santo Servo Jesus. 
ACT.4.31	Tendo eles orado, tremeu o lugar onde estavam reunidos; todos ficaram cheios do Espírito Santo e, com intrepidez, anunciavam a palavra de Deus.
ACT.4.32	Da multidão dos que creram era um o coração e a alma. Ninguém considerava exclusivamente sua nem uma das coisas que possuía; tudo, porém, lhes era comum.
ACT.4.33	Com grande poder, os apóstolos davam testemunho da ressurreição do Senhor Jesus, e em todos eles havia abundante graça. 
ACT.4.34	Pois nenhum necessitado havia entre eles, porquanto os que possuíam terras ou casas, vendendo-as, traziam os valores correspondentes 
ACT.4.35	e depositavam aos pés dos apóstolos; então, se distribuía a qualquer um à medida que alguém tinha necessidade.
ACT.4.36	José, a quem os apóstolos deram o sobrenome de Barnabé, que quer dizer filho de exortação, levita, natural de Chipre, 
ACT.4.37	como tivesse um campo, vendendo-o, trouxe o preço e o depositou aos pés dos apóstolos.
ACT.5.1	Entretanto, certo homem, chamado Ananias, com sua mulher Safira, vendeu uma propriedade, 
ACT.5.2	mas, em acordo com sua mulher, reteve parte do preço e, levando o restante, depositou-o aos pés dos apóstolos.
ACT.5.3	Então, disse Pedro: Ananias, por que encheu Satanás teu coração, para que mentisses ao Espírito Santo, reservando parte do valor do campo? 
ACT.5.4	Conservando-o, porventura, não seria teu? E, vendido, não estaria em teu poder? Como, pois, assentaste no coração este desígnio? Não mentiste aos homens, mas a Deus. 
ACT.5.5	Ouvindo estas palavras, Ananias caiu e expirou, sobrevindo grande temor a todos os ouvintes. 
ACT.5.6	Levantando-se os moços, cobriram-lhe o corpo e, levando-o, o sepultaram. 
ACT.5.7	Quase três horas depois, entrou a mulher de Ananias, não sabendo o que ocorrera. 
ACT.5.8	Então, Pedro, dirigindo-se a ela, perguntou-lhe: Dize-me, vendestes por tanto aquela terra? Ela respondeu: Sim, por tanto. 
ACT.5.9	Tornou-lhe Pedro: Por que entrastes em acordo para tentar o Espírito do Senhor? Eis aí à porta os pés dos que sepultaram o teu marido, e eles também te levarão. 
ACT.5.10	No mesmo instante, caiu ela aos pés de Pedro e expirou. Entrando os moços, acharam-na morta e, levando-a, sepultaram-na junto do marido. 
ACT.5.11	E sobreveio grande temor a toda a igreja e a todos quantos ouviram a notícia destes acontecimentos.
ACT.5.12	Muitos sinais e prodígios eram feitos entre o povo pelas mãos dos apóstolos. E costumavam todos reunir-se, de comum acordo, no Pórtico de Salomão. 
ACT.5.13	Mas, dos restantes, ninguém ousava ajuntar-se a eles; porém o povo lhes tributava grande admiração. 
ACT.5.14	E crescia mais e mais a multidão de crentes, tanto homens como mulheres, agregados ao Senhor, 
ACT.5.15	a ponto de levarem os enfermos até pelas ruas e os colocarem sobre leitos e macas, para que, ao passar Pedro, ao menos a sua sombra se projetasse nalguns deles. 
ACT.5.16	Afluía também muita gente das cidades vizinhas a Jerusalém, levando doentes e atormentados de espíritos imundos, e todos eram curados.
ACT.5.17	Levantando-se, porém, o sumo sacerdote e todos os que estavam com ele, isto é, a seita dos saduceus, tomaram-se de inveja, 
ACT.5.18	prenderam os apóstolos e os recolheram à prisão pública. 
ACT.5.19	Mas, de noite, um anjo do Senhor abriu as portas do cárcere e, conduzindo-os para fora, lhes disse: 
ACT.5.20	Ide e, apresentando-vos no templo, dizei ao povo todas as palavras desta Vida. 
ACT.5.21	Tendo ouvido isto, logo ao romper do dia, entraram no templo e ensinavam.
ACT.5.21	Chegando, porém, o sumo sacerdote e os que com ele estavam, convocaram o Sinédrio e todo o senado dos filhos de Israel e mandaram buscá-los no cárcere. 
ACT.5.22	Mas os guardas, indo, não os acharam no cárcere; e, tendo voltado, relataram, 
ACT.5.23	dizendo: Achamos o cárcere fechado com toda a segurança e as sentinelas nos seus postos junto às portas; mas, abrindo-as, a ninguém encontramos dentro. 
ACT.5.24	Quando o capitão do templo e os principais sacerdotes ouviram estas informações, ficaram perplexos a respeito deles e do que viria a ser isto. 
ACT.5.25	Nesse ínterim, alguém chegou e lhes comunicou: Eis que os homens que recolhestes no cárcere, estão no templo ensinando o povo. 
ACT.5.26	Nisto, indo o capitão e os guardas, os trouxeram sem violência, porque temiam ser apedrejados pelo povo. 
ACT.5.27	Trouxeram-nos, apresentando-os ao Sinédrio. E o sumo sacerdote interrogou-os, 
ACT.5.28	dizendo: Expressamente vos ordenamos que não ensinásseis nesse nome; contudo, enchestes Jerusalém de vossa doutrina; e quereis lançar sobre nós o sangue desse homem.
ACT.5.29	Então, Pedro e os demais apóstolos afirmaram: Antes, importa obedecer a Deus do que aos homens. 
ACT.5.30	O Deus de nossos pais ressuscitou a Jesus, a quem vós matastes, pendurando-o num madeiro. 
ACT.5.31	Deus, porém, com a sua destra, o exaltou a Príncipe e Salvador, a fim de conceder a Israel o arrependimento e a remissão de pecados. 
ACT.5.32	Ora, nós somos testemunhas destes fatos, e bem assim o Espírito Santo, que Deus outorgou aos que lhe obedecem.
ACT.5.33	Eles, porém, ouvindo, se enfureceram e queriam matá-los. 
ACT.5.34	Mas, levantando-se no Sinédrio um fariseu, chamado Gamaliel, mestre da lei, acatado por todo o povo, mandou retirar os homens, por um pouco, 
ACT.5.35	e lhes disse: Israelitas, atentai bem no que ides fazer a estes homens. 
ACT.5.36	Porque, antes destes dias, se levantou Teudas, insinuando ser ele alguma coisa, ao qual se agregaram cerca de quatrocentos homens; mas ele foi morto, e todos quantos lhe prestavam obediência se dispersaram e deram em nada. 
ACT.5.37	Depois desse, levantou-se Judas, o galileu, nos dias do recenseamento, e levou muitos consigo; também este pereceu, e todos quantos lhe obedeciam foram dispersos. 
ACT.5.38	Agora, vos digo: dai de mão a estes homens, deixai-os; porque, se este conselho ou esta obra vem de homens, perecerá; 
ACT.5.39	mas, se é de Deus, não podereis destruí-los, para que não sejais, porventura, achados lutando contra Deus. E concordaram com ele.
ACT.5.40	Chamando os apóstolos, açoitaram-nos e, ordenando-lhes que não falassem em o nome de Jesus, os soltaram. 
ACT.5.41	E eles se retiraram do Sinédrio regozijando-se por terem sido considerados dignos de sofrer afrontas por esse Nome. 
ACT.5.42	E todos os dias, no templo e de casa em casa, não cessavam de ensinar e de pregar Jesus, o Cristo.
ACT.6.1	Ora, naqueles dias, multiplicando-se o número dos discípulos, houve murmuração dos helenistas contra os hebreus, porque as viúvas deles estavam sendo esquecidas na distribuição diária. 
ACT.6.2	Então, os doze convocaram a comunidade dos discípulos e disseram: Não é razoável que nós abandonemos a palavra de Deus para servir às mesas. 
ACT.6.3	Mas, irmãos, escolhei dentre vós sete homens de boa reputação, cheios do Espírito e de sabedoria, aos quais encarregaremos deste serviço; 
ACT.6.4	e, quanto a nós, nos consagraremos à oração e ao ministério da palavra. 
ACT.6.5	O parecer agradou a toda a comunidade; e elegeram Estêvão, homem cheio de fé e do Espírito Santo, Filipe, Prócoro, Nicanor, Timão, Pármenas e Nicolau, prosélito de Antioquia. 
ACT.6.6	Apresentaram-nos perante os apóstolos, e estes, orando, lhes impuseram as mãos.
ACT.6.7	Crescia a palavra de Deus, e, em Jerusalém, se multiplicava o número dos discípulos; também muitíssimos sacerdotes obedeciam à fé.
ACT.6.8	Estêvão, cheio de graça e poder, fazia prodígios e grandes sinais entre o povo. 
ACT.6.9	Levantaram-se, porém, alguns dos que eram da sinagoga chamada dos Libertos, dos cireneus, dos alexandrinos e dos da Cilícia e Ásia, e discutiam com Estêvão; 
ACT.6.10	e não podiam resistir à sabedoria e ao Espírito, pelo qual ele falava. 
ACT.6.11	Então, subornaram homens que dissessem: Temos ouvido este homem proferir blasfêmias contra Moisés e contra Deus. 
ACT.6.12	Sublevaram o povo, os anciãos e os escribas e, investindo, o arrebataram, levando-o ao Sinédrio. 
ACT.6.13	Apresentaram testemunhas falsas, que depuseram: Este homem não cessa de falar contra o lugar santo e contra a lei; 
ACT.6.14	porque o temos ouvido dizer que esse Jesus, o Nazareno, destruirá este lugar e mudará os costumes que Moisés nos deu. 
ACT.6.15	Todos os que estavam assentados no Sinédrio, fitando os olhos em Estêvão, viram o seu rosto como se fosse rosto de anjo.
ACT.7.1	Então, lhe perguntou o sumo sacerdote: Porventura, é isto assim? 
ACT.7.2	Estêvão respondeu: Varões irmãos e pais, ouvi. O Deus da glória apareceu a Abraão, nosso pai, quando estava na Mesopotâmia, antes de habitar em Harã, 
ACT.7.3	e lhe disse: Sai da tua terra e da tua parentela e vem para a terra que eu te mostrarei.
ACT.7.4	Então, saiu da terra
ACT.7.5	Nela, não lhe deu herança, nem sequer o espaço de um pé; mas prometeu dar-lhe a posse dela
ACT.7.6	E falou Deus que a sua descendência seria peregrina em terra estrangeira, onde seriam escravizados e maltratados por quatrocentos anos; 
ACT.7.7	eu, disse Deus, julgarei a nação da qual forem escravos; e, depois disto, sairão daí e me servirão neste lugar.
ACT.7.8	Então, lhe deu a aliança da circuncisão;
ACT.7.9	Os patriarcas, invejosos
ACT.7.10	e livrou-o de todas as suas aflições, concedendo-lhe também graça e sabedoria perante Faraó, rei do Egito, que o constituiu governador daquela nação
ACT.7.11	Sobreveio, porém, fome
ACT.7.12	Mas, tendo ouvido Jacó
ACT.7.13	Na segunda vez, José se fez reconhecer
ACT.7.14	Então, José mandou chamar a Jacó,
ACT.7.15	Jacó desceu ao Egito,
ACT.7.16	e foram transportados para Siquém
ACT.7.17	Como, porém, se aproximasse o tempo da promessa que Deus jurou a Abraão, o povo cresceu e se multiplicou no Egito, 
ACT.7.18	até que se levantou ali outro rei, que não conhecia a José.
ACT.7.19	Este outro rei tratou com astúcia
ACT.7.20	Por esse tempo, nasceu Moisés, que era formoso aos olhos de Deus. Por três meses, foi ele mantido na casa de seu pai; 
ACT.7.21	quando foi exposto, a filha de Faraó o recolheu e criou como seu próprio filho.
ACT.7.22	E Moisés foi educado em toda a ciência dos egípcios e era poderoso em palavras e obras.
ACT.7.23	Quando completou quarenta anos, veio-lhe a ideia de visitar seus irmãos, os filhos de Israel. 
